tpl,tpu
256.95,0.25
527.15,1.05
809.7,3.2
1110.1,7.15
1425.95,14.8
1757.0,24.75
2106.0,39.1
2481.5,59.65
2879.0,87.7
3295.05,123.7
3743.3,167.9
4230.95,222.75
4748.3,290.95
5309.45,370.7
5935.9,471.95
6644.7,592.25
7457.35,735.35
8366.7,913.25
9422.65,1129.0
11016.6,1401.2
13141.7,1761.95
16007.0,2226.15
18568.65,2818.25
21840.45,3521.8
24453.7,4341.9
25663.55,5226.25
26211.5,6209.1
29111.25,7262.75
29846.2,8395.8
32677.7,9546.5
32359.4,10749.8
32444.95,12000.85
34303.75,13253.7
34048.4,14542.6
33503.95,15815.85
35158.55,17116.4
34291.2,18408.1
33908.7,19707.15
35675.25,21028.3
35516.85,22328.45
34836.1,23622.7
34735.6,24908.55
34306.9,26201.2
32714.9,27482.4
37798.85,28745.65
35132.4,30003.65
33653.65,31237.9
35712.9,32468.85
33811.4,33683.2
33142.6,34886.65
32954.15,36073.0
34134.9,37263.05
33193.35,38447.2
31858.95,39610.65
33398.1,40763.15
31657.65,41903.95
30860.2,43025.15
29001.55,44114.1
30114.05,45197.95
30701.35,46280.2
31645.5,47326.95
30975.45,48397.95
30899.6,49442.4
29470.5,50480.65
31725.75,51500.05
31244.85,52513.5
30413.15,53501.75
28603.05,54479.7
29345.0,55441.0
27970.4,56407.4
29080.7,57356.45
29463.5,58280.25
29243.85,59203.35
28447.95,60115.7
28258.8,61029.1
26770.85,61928.15
27576.7,62773.85
27703.0,63634.8
26300.85,64485.75
26572.65,65330.05
26811.6,66166.9
25487.1,66978.55
26405.45,67785.3
25125.15,68573.8
25992.45,69377.1
24654.0,70156.9
24769.25,70926.2
25021.4,71691.7
24413.75,72451.75
23355.25,73174.1
24674.6,73914.8
25269.7,74626.35
23092.0,75340.7
24871.6,76051.5
22766.35,76742.15
23693.2,77410.6
23724.9,78091.45
22793.65,78774.4
23069.8,79431.05
23382.65,80090.8
22297.55,80742.85
22254.15,81374.15
22807.0,82011.9
22287.35,82648.35
22143.45,83277.6
22562.15,83885.05
22125.9,84473.0
22028.6,85073.35
21552.9,85659.2
21929.75,86233.2
22405.35,86805.3
21418.9,87367.65
21523.2,87934.65
21733.35,88512.8
21359.55,89087.2
21049.2,89656.3
21904.35,90212.6
20694.85,90763.65
20203.4,91296.3
19594.75,91796.3
20169.6,92264.55
20247.5,92758.1
20887.95,93286.6
20074.85,93798.25
20420.0,94299.35
19504.9,94801.45
19976.45,95302.7
19893.45,95800.2
20129.2,96299.8
19376.4,96791.35
19952.15,97287.6
19326.45,97772.2
19387.55,98246.6
19446.25,98709.55
19714.4,99190.15
19563.95,99665.75
19682.65,100152.55
19305.2,100623.45
19168.8,101100.15
19238.15,101556.0
18783.0,102001.2
18907.35,102446.15
18498.85,102883.85
18135.75,103304.65
18440.15,103712.05
18329.35,104137.6
18505.5,104563.9
18062.25,104979.35
17749.85,105371.7
18409.2,105773.1
18294.35,106187.05
18063.8,106594.6
17850.4,106993.15
18208.1,107393.95
17834.05,107786.9
17409.736842105263,108187.36842105263
17015.78947368421,108546.36842105263
16925.105263157893,108893.84210526316
17028.052631578947,109237.26315789473
16618.157894736843,109577.78947368421
16450.052631578947,109904.8947368421
16853.263157894737,110246.05263157895
16827.736842105263,110586.68421052632
17290.052631578947,110939.36842105263
16723.352941176472,111059.29411764706
17344.70588235294,111417.94117647059
16929.176470588234,111773.88235294117
17123.529411764706,112122.5294117647
17253.70588235294,112478.82352941176
16832.41176470588,112828.05882352941
16669.3125,113153.5
16329.1875,113477.625
16077.266666666666,113740.26666666666
15826.785714285714,114097.78571428571
15531.214285714286,114384.42857142857
15409.846153846154,114865.15384615384
15138.846153846154,115128.46153846153
14885.23076923077,115376.92307692308
14639.583333333334,115379.41666666667
14967.166666666666,115623.41666666667
14708.75,115865.5
14473.75,116093.5
14256.166666666666,116306.91666666667
14579.333333333334,116536.0
14433.454545454546,116725.09090909091
14215.0,116938.72727272728
14004.09090909091,117147.54545454546
14329.444444444445,118111.66666666667
14111.666666666666,118323.11111111111
13909.0,118523.77777777778
13711.888888888889,118718.88888888889
13528.222222222223,118900.0
13355.555555555555,119071.66666666667
12998.142857142857,119095.57142857143
12854.857142857143,119238.28571428571
12710.142857142857,119382.14285714286
12577.142857142857,119514.85714285714
12446.857142857143,119644.42857142857
12324.714285714286,119765.42857142857
12210.857142857143,119878.85714285714
12094.0,119995.28571428571
11996.0,120093.28571428571
11901.714285714286,120186.42857142857
11869.666666666666,120227.5
11779.0,120317.66666666667
11693.0,120403.16666666667
11612.833333333334,120483.16666666667
11533.166666666666,120562.33333333333
11484.6,121079.0
