tpl,tpu
250.25,0.0
501.9,0.0
755.05,0.15
1012.0,0.55
1270.85,1.5
1535.15,2.85
1806.95,5.15
2084.0,9.05
2370.7,14.3
2662.45,21.6
2965.45,30.3
3279.1,42.4
3609.7,56.8
3956.4,77.35
4319.0,103.65
4714.8,135.4
5136.1,175.95
5595.75,225.3
6139.55,288.3
6805.8,369.05
7684.95,477.95
8583.7,618.2
9180.05,780.3
9760.75,959.5
10079.3,1150.35
10370.45,1346.35
10645.7,1541.05
10850.45,1745.7
10990.0,1954.05
11128.3,2148.3
11224.6,2339.65
11289.05,2534.7
11327.15,2727.7
11345.65,2915.4
11371.7,3089.3
11384.3,3258.6
11382.0,3424.7
11366.55,3585.15
11341.25,3741.95
11332.55,3888.5
11301.2,4033.1
11278.65,4171.3
11243.55,4305.15
11215.75,4433.35
11179.05,4555.55
11143.6,4671.65
11109.0,4785.0
11077.2,4891.6
11042.75,4992.2
11007.45,5087.25
10970.75,5180.75
10936.5,5270.75
10904.35,5355.2
10870.85,5436.65
10837.65,5516.1
10802.8,5591.85
10767.85,5663.85
10732.4,5732.2
10702.5,5797.9
10673.15,5860.9
10642.8,5921.35
10617.0,5978.4
10588.25,6031.55
10564.5,6082.45
10541.25,6131.3
10522.2,6177.25
10499.7,6221.1
10476.4,6263.35
10457.6,6301.95
10438.35,6340.05
10417.45,6378.25
10397.75,6413.1
10381.25,6446.35
10365.35,6477.3
10350.95,6507.05
10333.75,6536.3
10317.65,6563.2
10302.05,6589.9
10288.05,6615.75
10273.35,6640.8
10259.85,6664.5
10249.4,6684.25
10239.65,6703.55
10229.75,6722.05
10218.65,6741.8
10209.35,6758.8
10198.75,6775.95
10191.05,6791.1
10184.85,6804.45
10176.75,6818.3
10169.4,6832.0
10161.85,6845.1
10154.25,6857.45
10147.5,6869.3
10139.65,6881.1
10132.55,6892.15
10126.25,6903.15
10120.55,6913.25
10113.7,6923.4
10108.0,6932.9
10102.95,6941.8
10097.2,6950.15
10093.45,6957.55
10090.8,6963.45
10087.25,6969.8
10083.5,6976.3
10079.1,6982.4
10073.65,6989.75
10070.0,6995.6
10066.4,7001.75
10062.55,7007.35
10060.15,7011.8
10057.9,7015.7
10055.9,7020.05
10052.45,7025.0
10049.75,7029.2
10047.95,7033.05
10045.4,7036.6
10043.05,7039.9
10040.8,7043.05
10038.45,7046.2
10035.9,7049.8
10035.05,7052.45
10032.9,7055.5
10031.25,7058.1
10028.9,7061.25
10027.75,7063.45
10026.5,7065.45
10024.55,7068.1
10023.45,7070.15
10022.1,7072.25
10021.05,7073.95
10020.0,7075.55
10019.15,7077.05
10018.05,7078.8
10017.25,7080.15
10016.45,7081.4
10015.85,7082.5
10015.05,7084.0
10013.95,7085.55
10012.55,7087.2
10012.05,7088.2
10011.4,7089.0
10010.55,7090.1
10010.0,7091.05
10009.3,7092.2
10009.15,7092.85
10009.0,7093.45
10008.6,7094.1
10008.5,7094.85
10008.15,7095.4
10007.85,7095.95
10007.15,7096.85
10006.85,7097.5
10006.4,7098.05
10006.105263157895,7102.0
10005.631578947368,7102.578947368421
10005.21052631579,7103.0526315789475
10005.105263157895,7103.421052631579
10004.736842105263,7103.8421052631575
10004.578947368422,7104.210526315789
10004.473684210527,7104.578947368421
10004.578947368422,7104.631578947368
10004.315789473685,7105.105263157895
10004.29411764706,7106.529411764706
10004.0,7107.058823529412
10003.823529411764,7107.235294117647
10003.70588235294,7107.588235294118
10003.823529411764,7107.64705882353
10003.70588235294,7107.764705882353
10003.0625,7110.1875
10002.875,7110.5
10002.466666666667,7117.666666666667
10002.42857142857,7122.214285714285
10002.142857142857,7122.571428571428
10001.846153846154,7128.615384615385
10001.461538461539,7129.0
10001.076923076924,7129.384615384615
10000.75,7130.666666666667
10000.833333333334,7130.666666666667
10000.833333333334,7130.75
10000.916666666666,7130.75
10000.833333333334,7130.833333333333
10000.583333333334,7131.166666666667
10000.545454545454,7138.0
10000.363636363636,7138.181818181818
10000.363636363636,7138.181818181818
10000.111111111111,7155.0
10000.111111111111,7155.0
10000.0,7155.111111111111
10000.0,7155.111111111111
9999.888888888889,7155.222222222223
9999.777777777777,7155.333333333333
9999.714285714286,7157.428571428572
9999.285714285714,7157.857142857143
9999.285714285714,7157.857142857143
9999.142857142857,7158.0
9999.42857142857,7158.0
9999.42857142857,7158.0
9999.42857142857,7158.0
9999.285714285714,7158.142857142857
9999.285714285714,7158.142857142857
9999.0,7158.428571428572
9999.0,7171.0
9998.833333333334,7171.166666666667
9998.833333333334,7171.166666666667
9998.833333333334,7171.166666666667
9998.833333333334,7171.166666666667
9998.6,7152.6
