tpl,tpu
250.25,0.0
502.0,0.0
755.8,0.15
1013.9,0.6
1275.1,1.6
1542.85,3.05
1820.3,5.85
2104.6,10.85
2399.15,17.2
2701.5,26.45
3020.35,37.1
3348.55,53.45
3694.95,72.0
4062.9,97.55
4445.45,128.65
4866.65,166.35
5315.35,214.8
5812.9,274.8
6382.65,349.95
7085.6,446.35
7967.15,571.2
8872.1,726.5
9413.9,902.7
10005.95,1093.9
10280.1,1296.8
10544.7,1499.85
10796.9,1702.2
10960.6,1914.95
11084.15,2127.9
11207.15,2327.65
11287.45,2524.05
11342.15,2722.75
11373.8,2917.4
11384.6,3106.85
11405.05,3281.15
11408.7,3452.15
11399.5,3620.0
11381.65,3780.85
11354.75,3937.25
11345.65,4083.0
11313.05,4227.45
11289.15,4365.55
11251.45,4499.95
11221.3,4628.45
11183.5,4750.6
11145.3,4867.3
11109.7,4980.3
11075.75,5087.5
11041.3,5187.45
11003.4,5283.15
10966.4,5376.55
10931.2,5466.65
10899.65,5550.5
10865.6,5632.0
10832.15,5711.35
10798.25,5786.3
10763.2,5858.3
10727.7,5926.45
10697.4,5992.4
10667.5,6055.6
10637.0,6116.05
10611.95,6172.55
10584.0,6225.2
10560.95,6275.45
10537.75,6324.05
10518.45,6370.05
10496.3,6413.65
10473.25,6455.8
10454.3,6494.45
10435.6,6532.15
10415.0,6570.2
10395.25,6605.0
10378.15,6638.7
10362.4,6669.65
10348.15,6699.3
10331.05,6728.5
10315.35,6755.15
10299.55,6781.95
10285.75,6807.65
10271.3,6832.5
10258.25,6855.75
10247.95,6875.4
10238.35,6894.6
10228.5,6913.05
10217.25,6932.95
10208.15,6949.8
10197.7,6966.8
10190.3,6981.8
10184.15,6995.1
10176.0,7008.95
10168.45,7022.8
10160.95,7035.85
10153.45,7048.15
10146.8,7059.95
10139.05,7071.65
10131.95,7082.7
10125.6,7093.75
10119.9,7103.85
10113.05,7114.0
10107.45,7123.4
10102.45,7132.25
10096.8,7140.5
10093.2,7147.8
10090.5,7153.75
10087.0,7160.05
10083.2,7166.6
10078.85,7172.65
10073.45,7179.95
10069.95,7185.65
10066.45,7191.75
10062.65,7197.3
10060.25,7201.75
10058.05,7205.6
10055.95,7210.05
10052.5,7215.0
10049.8,7219.2
10048.0,7223.05
10045.4,7226.65
10043.05,7229.95
10040.8,7233.1
10038.45,7236.25
10035.9,7239.85
10035.05,7242.5
10032.9,7245.55
10031.25,7248.15
10028.9,7251.3
10027.8,7253.45
10026.65,7255.35
10024.65,7258.05
10023.45,7260.2
10022.1,7262.3
10021.0,7264.05
10019.9,7265.7
10019.1,7267.15
10018.0,7268.9
10017.15,7270.3
10016.35,7271.55
10015.75,7272.65
10014.95,7274.15
10013.85,7275.7
10012.45,7277.35
10011.95,7278.35
10011.3,7279.15
10010.5,7280.2
10009.95,7281.15
10009.25,7282.3
10009.1,7282.95
10008.95,7283.55
10008.55,7284.2
10008.45,7284.95
10008.1,7285.5
10007.8,7286.05
10007.15,7286.9
10006.9,7287.5
10006.45,7288.05
10006.105263157895,7293.8421052631575
10005.631578947368,7294.421052631579
10005.157894736842,7294.9473684210525
10005.052631578947,7295.315789473684
10004.684210526315,7295.736842105263
10004.526315789473,7296.105263157895
10004.421052631578,7296.473684210527
10004.526315789473,7296.526315789473
10004.263157894737,7297.0
10004.235294117647,7304.882352941177
10003.941176470587,7305.411764705882
10003.764705882353,7305.588235294118
10003.64705882353,7305.941176470588
10003.764705882353,7306.0
10003.64705882353,7306.117647058823
10003.0,7311.6875
10002.8125,7312.0
10002.4,7321.4
10002.357142857143,7324.357142857143
10002.07142857143,7324.714285714285
10001.76923076923,7329.0
10001.384615384615,7329.384615384615
10001.076923076924,7329.692307692308
10000.75,7333.583333333333
10000.833333333334,7333.583333333333
10000.833333333334,7333.666666666667
10000.916666666666,7333.666666666667
10000.833333333334,7333.75
10000.583333333334,7334.083333333333
10000.545454545454,7341.727272727273
10000.363636363636,7341.909090909091
10000.363636363636,7341.909090909091
10000.0,7364.0
10000.0,7364.0
9999.888888888889,7364.111111111111
9999.888888888889,7364.111111111111
9999.888888888889,7364.111111111111
9999.777777777777,7364.222222222223
9999.714285714286,7379.142857142857
9999.285714285714,7379.571428571428
9999.285714285714,7379.571428571428
9999.142857142857,7379.714285714285
9999.42857142857,7379.714285714285
9999.42857142857,7379.714285714285
9999.42857142857,7379.714285714285
9999.285714285714,7379.857142857143
9999.285714285714,7379.857142857143
9999.0,7380.142857142857
9999.0,7396.666666666667
9998.833333333334,7396.833333333333
9998.833333333334,7396.833333333333
9998.833333333334,7396.833333333333
9998.833333333334,7396.833333333333
9998.6,7394.0
