tpl,tpu
250.8,0.0
506.75,0.7
770.95,2.8
1048.7,10.05
1340.6,22.8
1669.8,49.6
2036.7,90.95
2487.75,166.0
3075.45,279.6
4017.3,460.6
5894.6,789.5
7636.0,1316.05
8872.0,2031.9
9804.55,2853.6
10483.55,3750.95
10994.75,4715.8
11403.0,5715.4
11768.0,6767.85
12171.45,7842.15
12291.95,8939.1
12399.45,10067.1
12537.45,11196.95
12758.05,12323.8
12790.6,13461.7
12927.15,14595.4
13048.6,15746.85
13099.65,16902.6
13153.35,18086.95
13223.4,19250.6
13215.6,20417.35
13305.7,21587.1
13284.3,22777.95
13398.5,23937.6
13327.1,25112.4
13361.05,26268.35
13385.2,27434.35
13474.15,28606.85
13477.0,29775.15
13549.55,30939.9
13490.3,32122.95
13434.9,33297.0
13509.7,34441.5
13466.6,35614.15
13515.2,36779.55
13465.05,37976.5
13448.35,39144.8
13514.0,40313.05
13507.3,41503.25
13484.7,42697.3
13521.5,43877.65
13519.15,45050.65
13536.5,46222.05
13540.5,47386.05
13669.95,48558.15
13576.35,49722.05
13538.5,50913.45
13558.4,52100.55
13539.35,53290.5
13537.1,54464.6
13532.55,55634.9
13574.65,56802.0
13540.4,57977.65
13575.05,59155.55
13648.85,60323.85
13503.75,61495.65
13569.95,62670.5
13656.25,63845.5
13580.65,65036.5
13563.842105263158,66319.31578947368
13560.842105263158,67493.47368421052
13667.388888888889,68771.22222222222
13717.35294117647,70152.11764705883
13600.941176470587,71354.35294117648
13660.411764705883,72545.5294117647
13653.64705882353,73722.41176470589
13586.058823529413,74887.29411764706
13689.0,76382.5
13662.125,77592.1875
13621.5625,78785.8125
13743.6,79812.6
13721.4,80980.73333333334
13643.2,82169.66666666667
13643.857142857143,83501.0
13712.714285714286,84694.42857142857
13701.166666666666,85754.91666666667
13646.545454545454,87067.81818181818
13682.90909090909,88260.18181818182
13657.454545454546,89438.18181818182
13699.9,90400.4
13721.444444444445,91653.0
13666.125,93461.0
13790.5,94635.625
13839.25,95851.125
13568.0,96198.85714285714
13599.42857142857,97356.0
13473.57142857143,98554.85714285714
13721.42857142857,99726.71428571429
13681.5,101242.66666666667
13636.166666666666,102386.0
13775.2,104048.8
14011.8,105191.6
13704.8,106429.8
13704.2,107645.4
13616.4,108828.8
13950.8,110027.0
