n,ipl
1499,16648
2999,16188
4499,16158
5999,16020
7499,15798
8999,15627
10499,15692
11999,15571
13499,15523
14999,15470
16499,15625
17999,15458
19499,15492
20999,15421
22499,15522
23999,15478
25499,15550
26999,15490
28499,15521
29999,15614
31499,15596
32999,15647
34499,15693
35999,15494
37499,15565
38999,15712
40499,15725
41999,15702
43499,15680
44999,15604
46499,15672
47999,15581
49499,15568
50999,15610
52499,15665
53999,15549
55499,15586
56999,15528
58499,15454
59999,15434
61499,15411
62999,15534
64499,15501
65999,15517
67499,15574
68999,15670
70499,15643
71999,15418
73499,15531
74999,15532
76499,15550
77999,15460
79499,15460
80999,15482
82499,15575
83999,15640
85499,15653
86999,15590
88499,15675
89999,15628
91499,15650
92999,15563
94499,15663
95999,15727
97499,15751
98999,15732
100499,15856
101999,15735
103499,15599
104999,15627
106499,15682
107999,15659
109499,15624
110999,15689
112499,15582
113999,15680
115499,15576
116999,15601
118499,15646
119999,15615
121499,15548
122999,15630
124499,15763
125999,15694
127499,15642
128999,15514
130499,15530
131999,15467
133499,15463
134999,15679
136499,15759
137999,15651
139499,15569
140999,15559
142499,15594
143999,15578
145499,15602
146999,15717
148499,15777
149999,15674
151499,15568
152999,15566
154499,15636
155999,15644
157499,15639
158999,15723
160499,15697
161999,15762
163499,15882
164999,15906
166499,15708
167999,15624
169499,15519
170999,15569
172499,15763
173999,15709
175499,15507
176999,15499
178499,15470
179999,15486
181499,15495
182999,15413
184499,15433
185999,15408
187499,15431
188999,15391
190499,15344
191999,15510
193499,15661
194999,15701
196499,15481
197999,15487
199499,15317
200999,15489
202499,15383
203999,15416
205499,15474
206999,15569
208499,15477
209999,15452
211499,15621
212999,15601
214499,15662
215999,15782
217499,15916
218999,15617
220499,15495
221999,15468
223499,15496
224999,15580
226499,15611
227999,15599
229499,15538
230999,15529
232499,15334
233999,15438
235499,15522
236999,15575
238499,15539
239999,15534
241499,15588
242999,15550
244499,15538
245999,15492
247499,15455
248999,15767
250499,15686
251999,15666
253499,15775
254999,15624
256499,15698
257999,15627
259499,15618
260999,15727
262499,15614
263999,15664
265499,15541
266999,15526
268499,15604
269999,15626
271499,15396
272999,15411
274499,15419
275999,15487
277499,15415
278999,15431
280499,15490
281999,15568
283499,15561
284999,15694
286499,15790
287999,15751
289499,15665
290999,15782
292499,15751
293999,15862
295499,15924
296999,15856
298499,15864
299999,15817
301499,15842
302999,15700
304499,15846
305999,15781
307499,15792
308999,15714
310499,15751
311999,15691
313499,15805
314999,15824
316499,15861
317999,15848
319499,15739
320999,15771
322499,15800
323999,15855
325499,15858
326999,15923
328499,15667
329999,15593
331499,15720
332999,15678
334499,15741
335999,15736
337499,15744
338999,15956
340499,16025
341999,15961
343499,15854
344999,15803
346499,15776
347999,15865
349499,15850
350999,15881
352499,15949
353999,15761
355499,15712
356999,15902
358499,15945
359999,15806
361499,15787
362999,15738
364499,15840
365999,15863
367499,15916
368999,15766
370499,15736
371999,15730
373499,15830
374999,15789
376499,15799
377999,15781
379499,15786
380999,15608
382499,15716
383999,15755
385499,15654
386999,15726
388499,15737
389999,15658
391499,15808
392999,15795
394499,15700
395999,15794
397499,15975
398999,16004
400499,15970
401999,16001
403499,16023
404999,15809
406499,15895
407999,15923
409499,15859
410999,15937
412499,15956
413999,15883
415499,15796
416999,15815
418499,15717
419999,15853
421499,16028
422999,16011
424499,16039
425999,15994
427499,15797
428999,15846
430499,15809
431999,15888
433499,15675
434999,15751
436499,15807
437999,15767
439499,15636
440999,15659
442499,15812
443999,15786
445499,15870
446999,15942
448499,15787
449999,15872
451499,15916
452999,15849
454499,15639
455999,15837
457499,15722
458999,15767
460499,15749
461999,15749
463499,15865
464999,15751
466499,15785
467999,15843
469499,15907
470999,15904
472499,15797
473999,15728
475499,15838
476999,15851
478499,15803
479999,15831
481499,15840
482999,15742
484499,15883
485999,15872
487499,15876
488999,15966
490499,15791
491999,15860
493499,15795
494999,15808
496499,15971
497999,16087
499499,16046
500999,16297
502499,16082
503999,15969
505499,16009
506999,15952
508499,15975
509999,15893
511499,15971
512999,16054
514499,16157
515999,16217
517499,16020
518999,15968
520499,15981
521999,15901
523499,15915
524999,16146
526499,16057
527999,16119
529499,16130
530999,16158
532499,16140
533999,15962
535499,15866
536999,15900
538499,15982
539999,16068
541499,16036
542999,16026
544499,16090
545999,16021
547499,16065
548999,16086
550499,16168
551999,16081
553499,16157
554999,16137
556499,16079
557999,16107
559499,16052
560999,16157
562499,16151
563999,16140
565499,16160
566999,16170
568499,16180
569999,16122
571499,16228
572999,16253
574499,16287
575999,16190
577499,16256
578999,15991
580499,16099
581999,16100
583499,16096
584999,16057
586499,16104
587999,16066
589499,16159
590999,16092
592499,16023
593999,15919
595499,15844
596999,15774
598499,15856
599999,15827
601499,15821
602999,15939
604499,15962
605999,15827
607499,15871
608999,15868
610499,15988
611999,15945
613499,15921
614999,15841
616499,15822
617999,15758
619499,15720
620999,15920
622499,15970
623999,15993
625499,15898
626999,16016
628499,16005
629999,16144
631499,15980
632999,15920
634499,16006
635999,15935
637499,16034
638999,16111
640499,16100
641999,16080
643499,16027
644999,16188
646499,16143
647999,16073
649499,16067
650999,16044
652499,15905
653999,15895
655499,16058
656999,15980
658499,16058
659999,15956
661499,16032
662999,16033
664499,15988
665999,16007
667499,16101
668999,16040
670499,16094
671999,16105
673499,16108
674999,16063
676499,16141
677999,16239
679499,16096
680999,16135
682499,16100
683999,16199
685499,16174
686999,16150
688499,16104
689999,16093
691499,16147
692999,16034
694499,16143
695999,16122
697499,16124
698999,16039
700499,16137
701999,16177
703499,15987
704999,15885
706499,15951
707999,15948
709499,16085
710999,16151
712499,16006
713999,16001
715499,15981
716999,16021
718499,16069
719999,16082
721499,16077
722999,16062
724499,16023
725999,16006
727499,15990
728999,15974
730499,16045
731999,16088
733499,16043
734999,16122
736499,16078
737999,16133
739499,16233
740999,16199
742499,16245
743999,16254
745499,16175
746999,16127
748499,16198
749999,16180
751499,16161
752999,16139
754499,16077
755999,15910
757499,15921
758999,16171
760499,16366
761999,16200
763499,16242
764999,16328
766499,16261
767999,16163
769499,16398
770999,16361
772499,16277
773999,16161
775499,16210
776999,16216
778499,16068
779999,16157
