n,ipl
1999,23429
3999,23399
5999,23231
7999,23233
9999,23217
11999,22453
13999,22411
15999,22208
17999,21987
19999,22005
21999,21972
23999,21861
25999,21831
27999,21946
29999,22112
31999,22169
33999,22055
35999,22054
37999,22097
39999,22060
41999,22102
43999,22099
45999,22094
47999,22131
49999,22098
51999,22072
53999,22108
55999,22055
57999,22147
59999,22069
61999,22090
63999,22109
65999,22075
67999,22116
69999,22099
71999,22039
73999,22169
75999,22175
77999,22149
79999,22165
81999,21969
83999,22063
85999,21945
87999,22131
89999,21984
91999,22009
93999,21946
95999,21864
97999,21988
99999,21970
101999,21966
103999,21998
105999,21950
107999,21764
109999,21788
111999,22007
113999,22005
115999,21948
117999,22136
119999,22194
121999,22055
123999,22104
125999,22155
127999,21997
129999,21782
131999,21984
133999,22019
135999,21887
137999,21912
139999,22101
141999,21979
143999,21927
145999,21824
147999,21808
149999,21738
151999,21796
153999,21666
155999,21706
157999,21663
159999,21794
161999,21759
163999,21762
165999,21769
167999,21765
169999,21879
171999,21910
173999,21722
175999,21745
177999,21706
179999,21853
181999,21783
183999,21652
185999,21633
187999,21744
189999,21687
191999,21667
193999,21578
195999,21711
197999,21769
199999,21949
201999,21870
203999,21747
205999,21853
207999,22027
209999,22057
211999,21795
213999,21764
215999,21659
217999,21642
219999,21501
221999,21560
223999,21593
225999,21708
227999,21661
229999,21748
231999,21519
233999,21643
235999,21669
237999,21672
239999,21626
241999,21613
243999,21716
245999,21681
247999,21503
249999,21554
251999,21720
253999,21691
255999,21501
257999,21569
259999,21545
261999,21568
263999,21612
265999,21388
267999,21518
269999,21634
271999,21757
273999,21552
275999,21619
277999,21553
279999,21657
281999,21532
283999,21352
285999,21571
287999,21639
289999,21738
291999,21692
293999,21737
295999,21677
297999,21663
299999,21822
301999,21597
303999,21514
305999,21550
307999,21486
309999,21290
311999,21311
313999,21309
315999,21315
317999,21278
319999,21398
321999,21393
323999,21340
325999,21366
327999,21336
329999,21393
331999,21340
333999,21434
335999,21411
337999,21392
339999,21390
341999,21504
343999,21673
345999,21597
347999,21598
349999,21514
351999,21609
353999,21429
355999,21445
357999,21523
359999,21424
361999,21461
363999,21301
365999,21430
367999,21528
369999,21292
371999,21364
373999,21189
375999,21139
377999,21065
379999,21156
381999,21116
383999,21230
385999,21323
387999,21147
389999,21084
391999,21071
393999,21073
395999,21136
397999,21018
399999,20979
401999,21019
403999,21195
405999,21226
407999,21114
409999,21101
411999,21212
413999,21192
415999,21181
417999,21126
419999,21056
421999,21183
423999,21152
425999,21228
427999,21197
429999,21131
431999,20992
433999,20959
435999,21088
437999,21029
439999,21200
441999,21143
443999,21323
445999,21272
447999,21293
449999,21280
451999,21258
453999,21314
455999,21337
457999,21147
459999,21428
461999,21562
463999,21512
465999,21330
467999,21284
469999,21298
471999,21381
473999,21431
475999,21365
477999,21419
479999,21285
481999,21205
483999,21229
485999,21275
487999,21289
489999,21270
491999,21444
493999,21466
495999,21408
497999,21430
499999,21489
501999,21396
503999,21410
505999,21488
507999,21455
509999,21456
511999,21427
513999,21395
515999,21434
517999,21476
519999,21559
521999,21556
523999,21645
525999,21550
527999,21568
529999,21524
531999,21518
533999,21584
535999,21511
537999,21307
539999,21484
541999,21484
543999,21405
545999,21402
547999,21400
549999,21389
551999,21437
553999,21392
555999,21459
557999,21571
559999,21453
561999,21435
563999,21347
565999,21381
567999,21381
569999,21285
571999,21447
573999,21508
575999,21438
577999,21362
579999,21438
581999,21580
583999,21549
585999,21509
587999,21455
589999,21647
591999,21519
593999,21637
595999,21614
597999,21609
599999,21588
601999,21557
603999,21551
605999,21538
607999,21624
609999,21648
611999,21598
613999,21610
615999,21432
617999,21656
619999,21705
621999,21733
623999,21617
625999,21598
627999,21739
629999,21686
631999,21900
633999,21826
635999,21742
637999,21794
639999,21738
641999,21749
643999,21619
645999,21779
647999,21709
649999,21706
651999,21843
653999,21904
655999,22119
657999,21937
659999,21925
661999,21852
663999,21681
665999,21630
667999,21694
669999,21784
671999,21769
673999,21836
675999,22055
677999,22065
679999,21800
681999,21910
683999,21948
685999,22070
687999,21797
689999,21983
691999,22003
693999,21879
695999,21854
697999,21998
699999,21854
701999,21974
703999,21783
705999,21909
707999,21917
709999,21822
711999,21809
713999,21877
715999,21847
717999,21887
719999,21850
721999,21895
723999,21845
725999,21923
727999,21990
729999,21953
731999,22036
733999,22041
735999,21822
737999,22037
739999,22014
741999,22122
743999,22025
745999,22111
747999,22129
749999,22112
751999,22165
753999,22241
755999,22339
757999,22083
759999,21906
761999,21862
763999,21888
765999,21974
767999,22179
769999,22317
771999,22323
773999,22219
775999,22046
777999,21932
779999,22023
781999,22220
783999,22176
785999,22195
787999,22007
789999,22171
791999,22183
793999,22315
795999,22541
797999,22406
799999,22135
801999,22253
803999,22075
805999,22077
807999,22225
809999,22149
811999,22167
813999,22090
815999,22109
817999,22179
819999,22142
821999,22270
823999,22334
825999,22163
827999,22115
829999,22115
831999,21987
833999,21914
835999,22024
837999,22106
839999,22079
841999,22063
843999,22138
845999,22093
847999,22042
849999,22115
851999,22174
853999,22191
855999,22232
857999,22212
859999,22098
861999,22227
863999,22204
865999,22298
867999,22323
869999,22276
871999,22283
873999,22354
875999,22367
877999,22171
879999,22173
881999,22262
883999,22225
885999,22181
887999,22167
889999,22088
891999,22046
893999,22029
895999,21986
897999,22130
899999,22314
901999,22387
903999,22238
905999,21926
907999,22116
909999,22217
911999,22189
913999,22354
915999,22267
917999,22246
919999,22157
921999,22131
923999,22237
925999,22275
927999,22383
929999,22239
931999,22314
933999,22297
935999,22308
937999,22235
939999,22184
941999,22322
943999,22253
945999,22419
947999,22502
949999,22289
951999,22428
953999,22527
955999,22449
957999,22341
959999,22454
961999,22391
963999,22402
965999,22449
967999,22426
969999,22284
971999,22278
973999,22255
975999,22169
977999,22073
979999,22116
981999,22284
983999,22252
985999,22357
987999,22239
989999,22148
991999,22105
993999,22152
995999,22279
997999,22215
999999,22217
1001999,22206
1003999,22235
1005999,22249
1007999,22149
1009999,22218
1011999,22291
