n,ipl
1999,25086
3999,25101
5999,25028
7999,24965
9999,24782
11999,24827
13999,24821
15999,24684
17999,24534
19999,24581
21999,24580
23999,24748
25999,24710
27999,24509
29999,24428
31999,24347
33999,24178
35999,24251
37999,24139
39999,24125
41999,24037
43999,24207
45999,24140
47999,24157
49999,24226
51999,24318
53999,24178
55999,24081
57999,24175
59999,24163
61999,24113
63999,24382
65999,24341
67999,24233
69999,24233
71999,24356
73999,23986
75999,23812
77999,23950
79999,23919
81999,23904
83999,23770
85999,23981
87999,23816
89999,23856
91999,23781
93999,23792
95999,23950
97999,23931
99999,24001
101999,23819
103999,23776
105999,23804
107999,23863
109999,23762
111999,23831
113999,23853
115999,23863
117999,23777
119999,23957
121999,23921
123999,23609
125999,23679
127999,23525
129999,23427
131999,23342
133999,23484
135999,23385
137999,23305
139999,23430
141999,23481
143999,23173
145999,23254
147999,23304
149999,23407
151999,23437
153999,23383
155999,23573
157999,23549
159999,23328
161999,23285
163999,23332
165999,23225
167999,23250
169999,23281
171999,23330
173999,23284
175999,23073
177999,23113
179999,23229
181999,23210
183999,23133
185999,23268
187999,23146
189999,22988
191999,23085
193999,23191
195999,23184
197999,23170
199999,23182
201999,23010
203999,22994
205999,22977
207999,23067
209999,23034
211999,23004
213999,23040
215999,23245
217999,23132
219999,23120
221999,23353
223999,23207
225999,23081
227999,23216
229999,22974
231999,22820
233999,22809
235999,22882
237999,23038
239999,23070
241999,22917
243999,23030
245999,23084
247999,23009
249999,22974
251999,23092
253999,22890
255999,22906
257999,23184
259999,23247
261999,23094
263999,23035
265999,23159
267999,23422
269999,23403
271999,23500
273999,23378
275999,23243
277999,23223
279999,23187
281999,23324
283999,23048
285999,23024
287999,23206
289999,23326
291999,23177
293999,23078
295999,23068
297999,23075
299999,23086
301999,23190
303999,23277
305999,23130
307999,23194
309999,23166
311999,22964
313999,23072
315999,23149
317999,23052
319999,23043
321999,23107
323999,23046
325999,22934
327999,22858
329999,22806
331999,22979
333999,22934
335999,22891
337999,23096
339999,23064
341999,22959
343999,22978
345999,23035
