n,ipl
1499,18022
2999,17947
4499,17799
5999,17621
7499,17458
8999,17562
10499,17543
11999,17476
13499,17293
14999,17352
16499,17404
17999,17160
19499,17114
20999,17039
22499,17135
23999,17106
25499,16968
26999,17105
28499,16989
29999,17254
31499,17180
32999,17173
34499,17104
35999,17166
37499,17089
38999,17053
40499,17109
41999,17063
43499,17035
44999,17108
46499,16985
47999,16998
49499,17051
50999,17134
52499,17178
53999,17220
55499,17224
56999,17063
58499,17016
59999,17012
61499,17010
62999,17181
64499,17225
65999,17212
67499,16956
68999,17034
70499,17104
71999,17186
73499,17123
74999,17067
76499,17034
77999,17073
79499,16921
80999,17132
82499,17111
83999,17099
85499,17000
86999,17025
88499,16951
89999,16969
91499,17119
92999,17137
94499,17123
95999,17021
97499,17133
98999,17156
100499,17313
101999,17305
103499,17116
104999,17098
106499,17030
107999,17150
109499,17236
110999,17354
112499,17044
113999,17065
115499,16971
116999,17010
118499,17063
119999,17054
121499,17194
122999,17279
124499,17131
125999,17019
127499,17095
128999,17180
130499,17363
131999,17185
133499,17211
134999,17290
136499,17151
137999,17324
139499,17219
140999,17215
142499,17216
143999,17119
145499,17089
146999,17146
148499,17043
149999,17082
151499,17110
152999,17096
154499,17255
155999,17178
157499,17146
158999,17164
160499,17229
161999,17387
163499,17198
164999,17132
166499,16991
167999,17161
169499,17243
170999,17192
172499,17124
173999,17207
175499,17131
176999,17099
178499,17153
179999,17239
181499,17357
182999,17340
184499,17283
185999,17366
187499,17183
188999,17203
190499,17194
191999,17113
193499,17066
194999,17015
196499,17126
197999,17057
199499,17130
200999,17081
202499,17109
203999,17188
205499,17223
206999,17220
208499,17215
209999,17278
211499,17394
212999,17246
214499,17384
215999,17420
217499,17446
218999,17323
220499,17354
221999,17371
223499,17290
224999,17494
226499,17502
227999,17417
229499,17350
230999,17533
232499,17451
233999,17583
235499,17569
236999,17449
238499,17415
239999,17505
241499,17533
242999,16420
244499,16592
245999,16487
247499,16245
248999,16284
250499,16247
251999,16216
253499,16100
254999,16202
256499,16198
257999,16235
259499,16333
260999,16236
262499,16290
263999,16364
265499,16260
266999,16227
268499,16130
269999,16353
271499,16306
272999,16407
274499,16384
275999,16402
277499,16293
278999,16350
280499,16355
281999,16327
283499,16494
284999,16381
286499,16279
287999,16238
289499,16286
290999,16328
292499,16379
293999,16328
295499,16207
296999,16354
298499,16355
299999,16321
301499,16426
302999,16485
304499,16491
305999,16328
307499,16241
308999,16231
310499,16349
311999,16288
313499,16401
314999,16376
316499,16302
317999,16277
319499,16258
320999,16250
322499,15914
323999,15980
325499,16035
326999,16105
328499,16061
329999,15941
331499,15871
332999,15931
334499,15936
335999,15815
337499,15857
338999,15908
340499,15976
341999,15996
343499,15850
344999,15884
346499,15776
347999,15949
349499,15911
350999,15919
352499,15954
353999,15874
355499,15889
356999,15892
358499,15839
359999,15853
361499,15799
362999,15945
364499,15808
365999,15909
367499,16049
368999,15928
370499,15991
371999,16094
373499,16190
374999,16060
376499,16051
377999,16175
379499,16003
380999,15894
382499,16012
383999,16031
385499,15948
386999,15918
388499,15920
389999,15956
391499,16026
392999,15968
394499,15980
395999,15940
397499,15710
398999,15862
400499,15992
401999,15945
403499,15952
404999,15993
406499,15938
407999,15899
409499,15961
410999,16001
412499,16150
413999,16152
415499,16046
416999,16046
418499,15981
419999,15996
421499,16001
422999,16155
424499,16042
425999,15996
427499,15823
428999,15887
430499,15848
431999,15950
433499,15804
434999,15840
436499,15681
437999,15741
439499,15844
440999,15904
442499,16024
443999,16094
445499,15996
446999,15917
448499,15994
449999,15995
451499,16077
452999,16074
454499,15984
455999,16002
457499,15892
458999,15973
460499,16070
461999,16028
463499,16035
464999,15964
466499,16113
467999,15980
469499,15928
470999,15880
472499,16044
473999,16012
475499,16103
476999,15920
478499,16067
479999,16021
481499,16025
482999,15966
484499,16012
485999,16139
487499,16019
488999,16112
490499,16222
491999,16142
493499,16146
494999,16122
496499,16072
497999,16044
499499,16070
500999,16165
502499,16066
503999,16022
505499,16251
506999,16372
508499,16155
509999,16167
511499,16351
512999,16142
514499,16093
515999,16149
517499,16010
518999,16097
520499,16268
521999,16186
523499,16149
524999,16155
526499,16063
527999,16130
529499,16170
530999,16167
532499,16208
533999,16148
535499,16207
536999,16181
538499,16035
539999,15979
541499,15896
542999,16010
544499,15995
545999,15964
547499,16059
548999,16061
550499,16004
551999,16121
553499,16191
554999,16136
556499,16233
557999,16065
559499,16017
560999,16084
562499,16154
563999,16299
565499,16248
566999,16244
568499,16224
569999,16328
571499,16215
572999,16312
574499,16238
575999,16298
577499,16398
578999,16410
580499,16387
581999,16369
583499,16300
584999,16404
586499,16195
587999,16210
589499,16277
590999,16255
592499,16429
593999,16186
595499,16314
596999,16231
598499,16214
599999,16331
601499,16216
602999,16351
604499,16381
605999,16283
607499,16221
608999,16260
610499,16211
611999,16166
613499,16288
614999,16240
616499,16286
617999,16399
619499,16465
620999,16607
622499,16717
623999,16486
625499,16502
626999,16333
628499,16102
629999,16162
631499,16227
632999,16149
634499,16215
635999,16259
637499,16262
638999,16032
640499,16178
641999,16221
643499,16347
644999,16344
646499,16515
647999,16322
649499,16214
650999,16296
652499,16382
653999,16309
655499,16293
656999,16195
658499,16184
659999,16287
661499,16274
662999,16227
664499,16203
665999,16337
667499,16203
668999,16120
670499,16106
671999,16021
673499,16173
674999,16234
676499,16149
677999,16107
679499,16294
680999,16144
682499,16283
683999,16379
685499,16203
686999,16199
688499,16207
689999,16321
691499,16292
692999,16282
694499,16158
695999,16182
697499,16327
698999,16260
700499,16328
701999,16413
703499,16302
704999,16371
706499,16291
707999,16383
709499,16305
710999,16479
712499,16428
713999,16274
715499,16230
716999,16209
718499,16264
719999,16279
721499,16140
722999,16266
724499,16143
725999,16266
727499,16199
728999,16188
730499,16258
731999,16287
733499,16122
734999,16350
736499,16278
737999,16333
739499,16313
740999,16276
742499,16349
743999,16199
745499,16174
746999,16163
748499,16345
749999,16394
751499,16402
752999,16333
754499,16277
755999,16388
757499,16343
758999,16353
760499,16345
761999,16471
763499,16435
764999,16432
766499,16365
767999,16314
769499,16391
770999,16503
772499,16454
773999,16330
775499,16422
776999,16411
778499,16555
779999,16656
781499,16581
782999,16517
784499,16623
785999,16722
787499,16876
788999,16776
790499,16557
791999,16673
793499,16683
794999,16601
796499,16559
797999,16461
799499,16462
800999,16539
802499,16423
803999,16560
805499,16510
806999,16643
808499,16771
809999,16524
811499,16427
812999,16462
814499,16456
815999,16370
817499,16473
818999,16292
820499,16347
821999,16430
823499,16634
824999,16489
826499,16463
827999,16383
829499,16412
830999,16252
