n,ipl
1499,17750
2999,17587
4499,17338
5999,17298
7499,17208
8999,17113
10499,17118
11999,17039
13499,17143
14999,17096
16499,17048
17999,16916
19499,16796
20999,16937
22499,16886
23999,16864
25499,16874
26999,16943
28499,16709
29999,16744
31499,17028
32999,16925
34499,16880
35999,16935
37499,16791
38999,16966
40499,16907
41999,16932
43499,16925
44999,17141
46499,17092
47999,16954
49499,16907
50999,16785
52499,16704
53999,16671
55499,16803
56999,16789
58499,16887
59999,16872
61499,16766
62999,16709
64499,16703
65999,16988
67499,16841
68999,16752
70499,16640
71999,16804
73499,16600
74999,16613
76499,16613
77999,16692
79499,16516
80999,16548
82499,16636
83999,16657
85499,16769
86999,16740
88499,16549
89999,16566
91499,16482
92999,16534
94499,16474
95999,16416
97499,16518
98999,16540
100499,16454
101999,16508
103499,16369
104999,16356
106499,16268
107999,16500
109499,16415
110999,16329
112499,16602
113999,16531
115499,16543
116999,16355
118499,16613
119999,16493
121499,16477
122999,16396
124499,16468
125999,16597
127499,16487
128999,16520
130499,16471
131999,16588
133499,16645
134999,16574
136499,16614
137999,16711
139499,16599
140999,16649
142499,16635
143999,16732
145499,16790
146999,16873
148499,16761
149999,16731
151499,16844
152999,16651
154499,16715
155999,16699
157499,16798
158999,16688
160499,16699
161999,16758
163499,16851
164999,16604
166499,16581
167999,16455
169499,16567
170999,16545
172499,16448
173999,16530
175499,16346
176999,16342
178499,16269
179999,16349
181499,16450
182999,16471
184499,16378
185999,16520
187499,16527
188999,16414
190499,16455
191999,16454
193499,16328
194999,16279
196499,16227
197999,16377
199499,16340
200999,16452
202499,16387
203999,16529
205499,16587
206999,16525
208499,16613
209999,16559
211499,16414
212999,16495
214499,16371
215999,16354
217499,16376
218999,16394
220499,16412
221999,16517
223499,16545
224999,16465
226499,16261
227999,16424
229499,16341
230999,16436
232499,16617
233999,16608
235499,16605
236999,16561
238499,16545
239999,16517
241499,16519
242999,16555
244499,16486
245999,16486
247499,16508
248999,16613
250499,16578
251999,16455
253499,16409
254999,16397
256499,16446
257999,16481
259499,16543
260999,16542
262499,16444
263999,16622
265499,16648
266999,16748
268499,16769
269999,16644
271499,16665
272999,16538
274499,16529
275999,16619
277499,16453
278999,16399
280499,16225
281999,16267
283499,16170
284999,16194
286499,16248
287999,16375
289499,16259
290999,16296
292499,16383
293999,16617
295499,16599
296999,16431
298499,16441
299999,16529
301499,16555
302999,16542
304499,16463
305999,16433
307499,16399
308999,16366
310499,16327
311999,16423
313499,16442
314999,16289
316499,16257
317999,16311
319499,16445
320999,16536
322499,16604
323999,16591
325499,16500
326999,16465
328499,16520
329999,16493
331499,16514
332999,16544
334499,16441
335999,16461
337499,16560
338999,16438
340499,16504
341999,16690
343499,16950
344999,16905
346499,16753
347999,16829
349499,16665
350999,16664
352499,16578
353999,16660
355499,16571
356999,16526
358499,16699
359999,16673
361499,16692
362999,16685
364499,16665
365999,16606
367499,16787
368999,16843
370499,16803
371999,16798
373499,16766
374999,16886
376499,16780
377999,16679
379499,16709
380999,16641
382499,16544
383999,16672
385499,16593
386999,16576
388499,16652
389999,16677
391499,16822
392999,16784
394499,16763
395999,16729
397499,16805
398999,16842
400499,16919
401999,16867
403499,16853
404999,16829
406499,16763
407999,16748
409499,16633
410999,16723
412499,16655
413999,16959
415499,17002
416999,17046
418499,16931
419999,17016
421499,16820
422999,16859
424499,16974
425999,16869
427499,16991
428999,17071
430499,16931
431999,16918
433499,17006
434999,17119
436499,17151
437999,17365
439499,17342
440999,17339
442499,17244
443999,17359
445499,17197
446999,17111
448499,17136
449999,17149
451499,17124
452999,17110
454499,17152
455999,17230
457499,17221
458999,17413
460499,17157
461999,17302
463499,17314
464999,17309
466499,17295
467999,17217
469499,17270
470999,17255
472499,17150
473999,17218
475499,17122
476999,17082
478499,17123
479999,17213
481499,17142
482999,17163
484499,17120
485999,17075
487499,17217
488999,17225
490499,17111
491999,17049
493499,17160
494999,17126
496499,17028
497999,17102
499499,17274
500999,17064
502499,17102
503999,17193
505499,17210
506999,17199
508499,17230
509999,17103
511499,17095
512999,17327
514499,17375
515999,17376
517499,17475
518999,17354
520499,17508
521999,17139
523499,17272
524999,17495
526499,17438
527999,17398
529499,17278
530999,17159
532499,17154
533999,17251
535499,17272
536999,17358
538499,17370
539999,17357
541499,17305
542999,17388
544499,17444
545999,17363
547499,17250
548999,17405
550499,17330
551999,17310
553499,17310
554999,17345
556499,17248
557999,17492
559499,17501
560999,17376
562499,17276
563999,17318
565499,17390
566999,17454
568499,17346
569999,17426
571499,17432
572999,17413
574499,17412
575999,17374
577499,17463
578999,17567
580499,17591
581999,17545
583499,17554
584999,17474
586499,17412
587999,17409
589499,17425
590999,17465
592499,17479
593999,17383
595499,17465
596999,17591
598499,17352
599999,17441
601499,17544
602999,17481
604499,17393
605999,17580
607499,17623
608999,17624
610499,17399
611999,17407
613499,17548
614999,17483
616499,17420
617999,17402
619499,17044
620999,17022
622499,17119
623999,17124
625499,17092
626999,17198
628499,17291
629999,17299
631499,17357
632999,17351
634499,17389
635999,17335
637499,17374
638999,17336
640499,17316
641999,17405
643499,17489
644999,17175
646499,17336
647999,17468
649499,17546
650999,17408
652499,17404
653999,17289
655499,17351
656999,17403
658499,17442
659999,17456
661499,17435
662999,17517
664499,17527
665999,17362
667499,17413
668999,17295
670499,17359
671999,17367
673499,17433
674999,17237
676499,17305
677999,17092
679499,17034
680999,17042
682499,17120
683999,16948
685499,16920
686999,16975
688499,16913
689999,17026
691499,16902
692999,16993
694499,16877
695999,16878
697499,16878
698999,17061
700499,17173
701999,17173
703499,17239
704999,17230
706499,17063
707999,17039
709499,17156
710999,17143
712499,17232
713999,17183
715499,17172
716999,17162
718499,17322
719999,17118
721499,17341
722999,17209
724499,17243
725999,17134
727499,17181
728999,17242
730499,17066
731999,17196
733499,17098
734999,17183
736499,17113
737999,17207
739499,17358
740999,17152
742499,17277
743999,17452
745499,17431
746999,17256
748499,17325
749999,17343
751499,17572
752999,17500
754499,17520
755999,17498
757499,17384
758999,17389
760499,17461
761999,17389
763499,17291
764999,17384
766499,17202
767999,17233
769499,17414
770999,17631
772499,17543
773999,17451
775499,17327
776999,17415
778499,17559
779999,17578
781499,17412
782999,17421
784499,17525
785999,17395
787499,17567
788999,17547
790499,17441
791999,17470
793499,17541
794999,17311
796499,17458
797999,17504
799499,17615
800999,17539
802499,17648
803999,17677
805499,17737
806999,17816
808499,17826
809999,17860
811499,17581
812999,17573
814499,17772
815999,17691
817499,17635
818999,17586
820499,17704
821999,17899
823499,17786
824999,17682
826499,17718
827999,17774
829499,17787
830999,17740
832499,17700
833999,17771
835499,17662
836999,17529
838499,17619
839999,17656
841499,17722
842999,17812
844499,17555
845999,17564
847499,17670
848999,17628
850499,17757
851999,17759
853499,17753
854999,17757
856499,17865
857999,17875
859499,17718
860999,17760
862499,17899
863999,17895
865499,17786
866999,17728
868499,17700
869999,17746
871499,17637
872999,17786
874499,17814
875999,17831
877499,17737
878999,17908
880499,17762
881999,17810
883499,17899
884999,17778
886499,18095
887999,18017
889499,18057
890999,17944
892499,17998
893999,17997
895499,17998
896999,17916
898499,17913
899999,17948
901499,17895
902999,18158
904499,18206
905999,18136
907499,18180
908999,18176
910499,18215
911999,18208
913499,18051
914999,18046
916499,18088
917999,18050
919499,17945
920999,18061
922499,18050
923999,18052
925499,16464
926999,16587
928499,16751
929999,16706
931499,16765
932999,16766
934499,16737
935999,16695
937499,16602
938999,16633
940499,16602
941999,16626
943499,16631
944999,16691
946499,16743
947999,16709
949499,16643
950999,16832
952499,16755
953999,16890
955499,16796
956999,16988
958499,16944
959999,17009
961499,16867
962999,16855
964499,17004
965999,16846
967499,16910
968999,16858
970499,16976
971999,16985
973499,17036
974999,16958
976499,16841
977999,16872
979499,16886
980999,16822
982499,17121
983999,16970
985499,17039
986999,17013
988499,16915
989999,16816
991499,16875
992999,16958
994499,17006
995999,17069
997499,17087
998999,17118
1000499,16997
1001999,17087
1003499,17090
1004999,16990
1006499,17113
1007999,17089
1009499,17093
1010999,17141
1012499,17132
1013999,17090
1015499,17088
1016999,17090
1018499,16945
1019999,16943
1021499,17130
1022999,16999
1024499,16930
1025999,17098
1027499,17004
1028999,17039
1030499,16977
1031999,17111
1033499,17007
1034999,16979
1036499,17088
1037999,17010
1039499,17102
1040999,16996
1042499,16924
1043999,17037
1045499,17279
1046999,17364
1048499,17128
1049999,17191
1051499,17359
1052999,17301
1054499,17294
1055999,17043
1057499,17300
1058999,17219
1060499,17168
1061999,17094
1063499,17234
1064999,17140
1066499,17138
1067999,17177
1069499,17238
1070999,17149
1072499,17233
1073999,17102
1075499,17035
1076999,17018
1078499,17138
1079999,17285
1081499,17225
1082999,17400
1084499,17438
1085999,17252
1087499,17322
1088999,17349
1090499,17318
1091999,17249
1093499,17240
1094999,17229
1096499,17243
1097999,17351
1099499,17456
1100999,17275
1102499,17298
1103999,17381
1105499,17241
1106999,17297
1108499,17417
1109999,17432
1111499,17345
1112999,17290
1114499,17480
1115999,17476
1117499,17317
1118999,17447
1120499,17432
1121999,17583
1123499,17365
1124999,17389
1126499,17381
1127999,17302
1129499,17363
1130999,17315
1132499,17504
1133999,17640
1135499,17686
1136999,17916
1138499,17616
1139999,17627
1141499,17479
1142999,17344
1144499,17527
1145999,17613
1147499,17699
1148999,17754
1150499,17730
1151999,17813
1153499,17790
1154999,17958
1156499,17874
1157999,17785
1159499,17563
1160999,17618
1162499,17734
1163999,17810
1165499,17754
1166999,17686
1168499,17782
1169999,17728
1171499,17914
1172999,17843
1174499,17779
1175999,17855
1177499,17764
1178999,17768
1180499,17667
1181999,17787
1183499,17810
1184999,17915
1186499,17811
1187999,17747
1189499,17848
1190999,17738
1192499,17911
1193999,17768
1195499,17850
1196999,17923
1198499,17743
1199999,17636
1201499,17749
1202999,17934
1204499,17893
1205999,17835
1207499,17722
1208999,17701
1210499,17917
1211999,17708
1213499,17815
1214999,17699
1216499,17606
1217999,17754
1219499,17559
1220999,17649
1222499,17951
1223999,17897
1225499,17906
1226999,17892
1228499,17862
1229999,17645
1231499,17688
1232999,17623
1234499,17636
1235999,17575
1237499,17538
1238999,17811
1240499,17747
1241999,17503
1243499,17540
1244999,17654
1246499,17700
1247999,17731
1249499,17791
1250999,17939
1252499,17968
1253999,17956
1255499,17943
1256999,17929
1258499,17907
1259999,17950
1261499,17931
1262999,17934
1264499,17807
1265999,17827
1267499,17996
1268999,18012
1270499,18021
1271999,17906
1273499,17855
1274999,17915
1276499,17983
1277999,17944
1279499,17931
1280999,18067
1282499,17945
1283999,17916
1285499,17975
1286999,18077
1288499,18024
1289999,17977
1291499,17965
1292999,18055
1294499,18092
1295999,18209
1297499,18258
1298999,18147
1300499,18254
1301999,18201
1303499,18125
1304999,18055
1306499,17835
1307999,18073
1309499,17999
1310999,17884
1312499,17852
1313999,17731
1315499,17681
1316999,17786
1318499,17864
1319999,18003
1321499,17801
1322999,17858
1324499,18083
1325999,18192
1327499,18175
1328999,18194
1330499,18124
1331999,18114
1333499,18166
1334999,18241
1336499,18360
1337999,18133
1339499,18144
1340999,17967
1342499,17973
1343999,18133
1345499,18124
1346999,18094
1348499,18066
1349999,18031
1351499,16624
1352999,16791
1354499,16783
1355999,16725
1357499,16716
1358999,16913
1360499,16845
1361999,16913
1363499,16709
1364999,16858
1366499,16760
1367999,16671
1369499,16891
1370999,16875
1372499,16865
1373999,16884
1375499,17001
1376999,16866
1378499,16838
1379999,16906
1381499,16879
1382999,16894
1384499,16980
1385999,16769
1387499,16848
1388999,16898
1390499,16457
1391999,16531
1393499,16399
1394999,16346
1396499,16538
1397999,16518
1399499,16459
1400999,16622
1402499,16536
1403999,16518
1405499,16540
1406999,16594
1408499,16657
1409999,16758
1411499,16740
1412999,16757
1414499,16677
1415999,16699
1417499,16536
1418999,16561
1420499,16455
1421999,16602
1423499,16555
1424999,16661
1426499,16716
1427999,16851
1429499,16760
1430999,16713
1432499,16760
1433999,16735
1435499,16753
1436999,16723
1438499,16626
1439999,16572
1441499,16517
1442999,16465
1444499,16606
1445999,16726
1447499,16648
1448999,16660
1450499,16632
1451999,16410
1453499,16535
1454999,16319
1456499,16480
1457999,16455
1459499,16346
1460999,16401
1462499,16481
1463999,16579
1465499,16666
1466999,16646
1468499,16600
1469999,16475
1471499,16531
1472999,16583
1474499,16565
1475999,16556
1477499,16644
1478999,16659
1480499,16780
1481999,16670
1483499,16501
1484999,16455
1486499,16564
1487999,16511
1489499,16479
1490999,16660
1492499,16668
1493999,16663
1495499,16693
1496999,16734
1498499,16652
1499999,16277
1501499,16267
1502999,16216
1504499,16302
1505999,16243
1507499,16401
1508999,16381
1510499,16458
1511999,16407
1513499,16348
1514999,16368
1516499,16293
1517999,16369
1519499,16180
1520999,16292
1522499,16198
1523999,16254
1525499,16328
1526999,16569
1528499,16605
1529999,16387
1531499,16281
1532999,16304
1534499,16401
1535999,16416
1537499,16402
1538999,16315
1540499,16167
1541999,16148
1543499,16260
1544999,16334
1546499,16230
1547999,16285
1549499,16250
1550999,16266
1552499,16048
1553999,16265
1555499,16280
1556999,16189
1558499,16289
1559999,16140
1561499,16243
1562999,16376
1564499,16343
1565999,16342
1567499,16137
1568999,16298
1570499,16277
1571999,16417
1573499,16449
1574999,16362
1576499,16355
1577999,16259
1579499,16284
1580999,16359
1582499,16449
1583999,16475
1585499,16397
