n,ipl
999,10700
1999,10810
2999,10696
3999,10776
4999,10842
5999,10623
6999,10664
7999,10789
8999,10661
9999,10415
10999,10480
11999,10513
12999,10485
13999,10571
14999,10526
15999,10463
16999,10522
17999,10474
18999,10431
19999,10571
20999,10483
21999,10405
22999,10349
23999,10319
24999,10193
25999,10182
26999,10136
27999,10079
28999,10154
29999,10055
30999,10139
31999,10084
32999,10144
33999,10151
34999,10102
35999,10163
36999,10345
37999,10290
38999,10177
39999,10144
40999,10078
41999,10087
42999,10144
43999,10113
44999,10132
45999,10129
46999,10174
47999,10133
48999,10105
49999,10227
50999,10132
51999,10144
52999,10146
53999,10066
54999,10094
55999,10261
56999,10207
57999,10302
58999,10266
59999,10288
60999,10339
61999,10233
62999,10168
63999,10258
64999,10226
65999,10170
66999,10284
67999,10174
68999,10135
69999,10250
70999,10145
71999,10082
72999,10079
73999,10139
74999,10241
75999,10219
76999,10255
77999,10364
78999,10276
79999,10168
80999,10161
81999,10137
82999,10137
83999,10165
84999,10274
85999,10214
86999,10211
87999,10170
88999,10203
89999,10330
90999,10285
91999,10253
92999,10119
93999,10182
94999,10211
95999,10133
96999,10319
97999,10338
98999,10314
99999,10411
100999,10487
101999,10533
102999,10485
103999,10607
104999,10597
105999,10542
106999,10544
107999,10431
108999,10443
109999,10577
110999,10507
111999,10355
112999,10394
113999,10365
114999,10441
115999,10477
116999,10410
117999,10361
118999,10433
119999,10479
120999,10565
121999,10527
122999,10522
123999,10562
124999,10613
125999,10573
126999,10716
127999,10706
128999,10618
129999,10617
130999,10538
131999,10524
132999,10465
133999,10616
134999,10553
135999,10602
136999,10431
137999,10549
138999,10591
139999,10591
140999,10680
141999,10622
142999,10675
143999,10609
144999,10650
145999,10479
146999,10508
147999,10245
148999,10319
149999,10359
150999,10315
151999,10187
152999,10178
153999,10342
154999,10370
155999,10288
156999,10326
157999,10355
158999,10344
159999,10332
160999,10267
161999,10255
162999,10238
163999,10423
164999,10321
165999,10352
166999,10359
167999,10385
168999,10342
169999,10413
170999,10445
171999,10438
172999,10486
173999,10433
174999,10534
175999,10586
176999,10508
177999,10484
178999,10402
179999,10375
180999,10357
181999,10334
182999,10464
183999,10592
184999,10694
185999,10621
186999,10559
187999,10463
188999,10507
189999,10475
190999,10576
191999,10588
192999,10618
193999,10631
194999,10578
195999,10494
196999,10485
197999,10499
198999,10414
199999,10509
200999,10438
201999,10558
202999,10465
203999,10397
204999,10364
205999,10301
206999,10489
207999,10536
208999,10537
209999,10458
210999,10496
211999,10531
212999,10501
213999,10601
214999,10566
215999,10674
216999,10525
217999,10487
218999,10528
219999,10588
220999,10591
221999,10589
222999,10651
223999,10563
224999,10712
225999,10588
226999,10648
227999,10701
228999,10658
229999,10825
230999,10760
231999,10687
232999,10626
233999,10508
234999,10604
235999,10798
236999,10744
237999,10744
238999,10744
239999,10698
240999,10679
241999,10624
242999,10567
243999,10513
244999,10584
245999,10610
246999,10557
247999,10509
248999,10647
249999,10515
250999,10635
251999,10582
252999,10653
253999,10725
254999,10752
255999,10846
256999,10920
257999,10947
258999,11003
259999,10826
260999,10837
261999,10772
262999,10728
263999,10639
264999,10687
265999,10690
266999,10761
267999,10677
268999,10694
269999,10650
270999,10592
271999,10763
272999,10719
273999,10698
274999,10748
275999,10754
276999,10629
277999,10576
278999,10673
279999,10736
280999,10792
281999,10804
282999,10694
283999,10746
284999,10758
285999,10681
286999,10730
287999,10772
288999,10783
289999,10849
290999,10795
291999,10753
292999,10816
293999,10819
294999,10894
295999,10867
296999,10818
297999,10855
298999,10876
299999,10887
300999,10853
301999,10839
302999,10875
303999,10851
304999,10947
305999,10959
306999,11050
307999,11048
308999,10955
309999,11058
310999,11083
311999,10983
312999,11014
313999,11109
314999,11056
315999,10994
316999,10895
317999,10990
318999,11122
319999,11238
320999,11274
321999,11343
322999,11070
323999,11034
324999,10999
325999,11013
326999,11101
327999,11158
328999,11065
329999,11139
330999,11282
331999,11082
332999,11065
333999,11129
334999,11150
335999,11144
336999,11298
337999,11328
338999,11346
339999,11365
340999,11321
341999,11320
342999,11157
343999,11133
344999,11144
345999,11156
346999,10471
347999,10477
348999,10414
349999,10411
350999,10318
351999,10335
352999,10324
353999,10350
354999,10307
355999,10314
