n,ipl
999,12094
1999,12096
2999,12144
3999,12071
4999,11113
5999,11042
6999,11130
7999,11016
8999,10812
9999,10768
10999,10881
11999,10841
12999,10798
13999,10933
14999,10847
15999,10891
16999,10878
17999,10877
18999,10739
19999,10766
20999,10767
21999,10711
22999,10671
23999,10656
24999,10661
25999,10722
26999,10780
27999,10798
28999,10556
29999,10445
30999,10454
31999,10458
32999,10382
33999,10584
34999,10380
35999,10445
36999,10421
37999,10472
38999,10496
39999,10493
40999,10515
41999,10690
42999,10703
43999,10638
44999,10594
45999,10549
46999,10458
47999,10560
48999,10487
49999,10536
50999,10712
51999,10621
52999,10595
53999,10603
54999,10633
55999,10668
56999,10621
57999,10579
58999,10464
59999,10477
60999,10565
61999,10739
62999,10573
63999,10728
64999,10736
65999,10782
66999,10624
67999,10705
68999,10623
69999,10715
70999,10537
71999,10547
72999,10499
73999,10406
74999,10393
75999,10543
76999,10461
77999,10525
78999,10458
79999,10411
80999,10463
81999,10583
82999,10455
83999,10431
84999,10509
85999,10496
86999,10518
87999,10580
88999,10522
89999,10496
90999,10420
91999,10329
92999,10378
93999,10426
94999,10417
95999,10436
96999,10437
97999,10378
98999,10421
99999,10384
100999,10388
101999,10346
102999,10366
103999,10405
104999,10436
105999,10370
106999,10374
107999,10337
108999,10340
109999,10348
110999,10393
111999,10419
112999,10412
113999,10499
114999,10498
115999,10391
116999,10429
117999,10249
118999,10296
119999,10300
120999,10400
121999,10401
122999,10513
123999,10368
124999,10360
125999,10346
126999,10345
127999,10301
128999,10367
129999,10413
130999,10300
131999,10337
132999,10439
133999,10543
134999,10416
135999,10403
136999,10284
137999,10423
138999,10432
139999,10395
140999,10444
141999,10517
142999,10200
143999,10244
144999,10272
145999,10106
146999,10206
147999,10303
148999,10283
149999,10335
150999,10328
151999,10472
152999,10427
153999,10273
154999,10322
155999,10434
156999,10467
157999,10260
158999,10330
159999,10302
160999,10460
161999,10338
162999,10384
163999,10394
164999,10328
165999,10275
166999,10335
167999,10384
168999,10362
169999,10435
170999,10408
171999,10386
172999,10317
173999,10338
174999,10278
175999,10350
176999,10265
177999,10260
178999,10206
179999,10228
180999,10221
181999,10273
182999,10266
183999,10347
184999,10441
185999,10366
186999,10342
187999,10250
188999,10249
189999,10300
190999,10316
191999,10197
192999,10240
193999,10310
194999,10451
195999,10380
196999,10417
197999,10505
198999,10421
199999,10439
200999,10454
201999,10408
202999,10343
203999,10319
204999,10353
205999,10262
206999,10280
207999,10173
208999,9999
209999,10232
210999,10287
211999,10385
212999,10350
213999,10524
214999,10503
215999,10404
216999,10466
217999,10526
218999,10607
219999,10475
220999,10435
221999,10270
222999,10303
223999,10410
224999,10330
225999,10205
226999,10420
227999,10499
228999,10444
229999,10404
230999,10503
231999,10479
232999,10393
233999,10325
234999,10420
235999,10396
236999,10400
237999,10407
238999,10439
239999,10396
240999,10411
241999,10434
242999,10417
243999,10241
244999,10313
245999,10349
246999,10220
247999,10180
248999,10349
249999,10462
250999,10421
251999,10319
252999,10380
253999,10367
254999,10362
255999,10350
256999,10338
257999,10396
258999,10258
259999,10170
260999,10213
261999,10328
262999,10310
263999,10181
264999,10306
265999,10191
266999,10339
267999,10330
268999,10212
269999,10024
270999,10255
271999,10373
272999,10373
273999,10416
274999,10363
275999,10415
276999,10349
277999,10356
278999,10269
279999,10406
280999,10385
281999,10404
282999,10470
283999,10463
284999,10464
285999,10511
286999,10488
287999,10555
288999,10586
289999,10638
290999,10548
291999,10521
292999,10517
293999,10596
294999,10582
295999,10570
296999,10480
297999,10433
298999,10575
299999,10435
300999,10486
301999,10410
302999,10541
303999,10404
304999,10417
305999,10450
306999,10600
307999,10474
308999,10543
309999,10406
310999,10515
311999,10425
312999,10420
313999,10335
314999,10341
315999,10334
316999,10477
317999,10368
318999,10324
319999,10415
320999,10488
321999,10548
322999,10461
323999,10403
324999,10193
325999,10116
326999,10207
327999,10201
328999,10161
329999,10079
330999,10144
331999,10220
332999,10172
333999,10191
334999,10222
335999,10240
336999,10245
337999,10154
338999,9951
339999,9912
340999,9890
341999,9869
342999,10036
343999,10014
344999,10068
345999,10059
346999,9992
347999,9948
348999,9921
349999,9862
350999,9906
351999,9968
352999,10055
353999,10077
354999,10016
355999,10056
356999,9957
357999,10008
358999,10121
359999,10072
360999,10171
361999,10135
362999,10058
363999,10152
364999,9994
365999,9952
366999,9867
367999,9877
368999,9943
369999,9870
370999,9979
371999,10003
372999,10049
373999,10091
374999,10056
375999,10075
376999,10077
377999,10152
378999,9994
379999,10014
380999,10095
381999,9987
382999,10221
383999,10229
384999,10228
385999,10261
386999,10206
387999,10205
388999,10172
389999,10153
390999,10092
391999,10123
392999,10196
393999,10077
394999,10188
395999,10144
396999,10191
397999,10146
398999,10197
399999,10361
400999,10327
401999,10236
402999,10222
403999,10184
404999,10121
405999,10152
406999,10251
407999,10310
408999,10318
409999,10436
410999,10248
411999,10151
412999,10173
413999,10128
414999,10079
415999,10181
416999,10235
417999,10144
418999,10179
419999,10189
420999,10324
421999,10224
422999,10118
423999,10197
424999,10192
425999,10246
426999,10272
427999,10311
428999,10497
429999,10365
430999,10451
431999,10349
432999,10383
433999,10314
434999,10215
435999,10217
436999,10240
437999,10121
438999,10120
439999,10130
440999,9990
441999,10108
442999,10142
443999,10012
444999,10104
445999,10195
446999,10145
447999,10221
448999,10084
449999,10027
450999,9965
451999,9911
452999,9931
453999,10127
454999,10003
455999,10032
456999,9984
457999,10104
458999,10125
459999,10136
460999,10123
461999,10144
462999,10204
463999,10141
464999,10031
465999,10091
466999,10092
467999,10010
468999,9962
469999,10004
470999,9950
471999,10013
472999,10205
473999,10298
474999,10236
475999,10173
476999,10208
477999,10124
478999,10167
479999,10154
480999,10158
481999,10099
482999,10151
483999,10106
484999,10081
485999,10067
486999,10125
487999,10283
488999,10311
489999,10149
490999,10165
491999,10129
492999,10188
493999,10162
494999,10101
495999,10163
496999,10236
497999,10218
498999,10251
499999,10277
500999,10343
501999,10203
502999,10253
503999,10153
504999,10176
505999,10172
506999,10257
507999,10334
508999,10376
509999,10348
510999,10420
511999,10471
512999,10456
513999,10433
514999,10444
515999,10399
516999,10406
517999,10403
518999,10497
519999,10468
520999,10431
521999,10524
522999,10445
523999,10493
524999,10323
525999,10384
526999,10275
527999,10223
528999,10200
529999,10267
530999,10215
531999,10343
532999,10398
533999,10426
534999,10442
535999,10529
536999,10513
537999,10553
538999,10588
539999,10483
540999,10517
541999,10560
542999,10602
543999,10639
544999,10585
545999,10539
546999,10545
547999,10590
548999,10568
549999,10376
550999,10386
551999,10389
552999,10372
553999,10317
554999,10376
555999,10335
556999,10440
557999,10454
558999,10451
559999,10262
560999,10399
561999,10322
562999,10349
563999,10253
564999,10137
565999,10289
566999,10299
567999,10329
568999,10271
569999,10270
570999,10141
571999,10252
572999,10338
573999,10344
574999,10317
575999,10212
576999,10184
577999,10240
578999,10358
579999,10219
580999,10170
581999,10076
582999,10277
583999,10291
584999,10218
585999,10305
586999,10257
587999,10169
588999,10340
589999,10311
590999,10271
591999,10360
592999,10381
593999,10427
594999,10344
595999,10365
596999,10401
597999,10323
598999,10445
599999,10493
600999,10394
601999,10420
602999,10310
603999,10320
604999,10340
605999,10232
606999,10365
607999,10284
608999,10224
609999,10267
610999,10271
611999,10271
612999,10212
613999,10303
614999,10134
615999,10205
616999,10301
617999,10403
618999,10446
619999,10338
620999,10287
621999,10356
622999,10375
623999,10342
624999,10358
625999,10355
626999,10331
627999,10229
628999,10352
629999,10466
630999,10576
631999,10446
632999,10363
633999,10348
634999,10206
635999,10329
636999,10479
637999,10468
638999,10394
639999,10417
640999,10398
641999,10340
642999,10405
643999,10365
644999,10416
645999,10335
646999,10453
647999,10553
648999,10431
649999,10435
650999,10517
651999,10455
652999,10344
653999,10338
654999,10421
655999,10485
656999,10518
657999,10468
658999,10457
659999,10584
660999,10736
661999,10533
662999,10409
663999,10408
664999,10440
665999,10469
666999,10370
667999,10382
668999,10311
669999,10345
670999,10343
671999,10281
672999,10150
673999,10201
674999,10318
675999,10442
676999,10444
677999,10362
678999,10440
679999,10421
680999,10591
681999,10500
682999,10495
683999,10576
684999,10439
685999,10572
686999,10605
687999,10660
688999,10767
689999,10860
690999,10652
691999,10630
692999,10539
693999,10529
694999,10600
695999,10528
696999,10420
697999,10410
698999,10402
699999,10470
700999,10507
701999,10479
702999,10521
703999,10643
704999,10589
705999,10493
706999,10525
707999,10521
708999,10604
709999,10521
710999,10514
711999,10559
712999,10514
713999,10588
714999,10609
715999,10719
716999,10727
717999,10605
718999,10570
719999,10703
720999,10649
721999,10698
722999,10680
723999,10514
724999,10656
725999,10725
726999,10676
727999,10688
728999,10664
729999,10818
730999,10814
731999,10755
732999,10760
733999,10822
734999,10831
735999,10902
736999,10555
737999,10644
738999,10817
739999,10737
740999,10716
741999,10854
742999,10875
743999,10893
744999,10832
745999,10821
746999,10926
747999,11058
748999,11072
749999,11006
750999,11060
751999,10904
752999,10888
753999,10871
754999,10810
755999,10860
756999,10814
757999,10952
758999,10815
759999,10885
760999,10850
761999,10962
762999,10990
763999,10845
764999,10876
765999,10829
766999,10788
767999,10906
768999,10859
769999,10865
770999,10870
771999,10830
772999,11010
773999,10914
774999,11091
775999,11068
776999,11003
777999,11083
778999,10983
779999,10779
780999,10798
781999,10851
782999,10933
783999,10982
784999,11140
785999,10987
786999,10889
787999,10885
788999,11005
789999,10984
790999,11053
791999,11081
792999,11178
793999,11202
794999,11135
795999,11237
796999,11136
797999,11287
798999,11187
799999,11084
800999,11098
801999,11031
802999,11137
803999,10947
804999,10939
805999,11010
806999,11060
807999,10978
808999,10954
809999,10905
810999,10866
811999,11019
812999,11064
813999,10918
814999,10980
815999,11041
816999,11081
817999,11110
818999,11016
819999,11109
820999,11036
821999,11151
822999,11159
823999,11138
824999,11082
825999,11041
826999,11002
827999,10974
828999,11118
829999,10966
830999,11015
831999,11172
832999,11258
833999,11288
834999,11154
835999,11446
836999,11443
837999,11388
838999,11350
839999,11453
840999,11413
841999,11383
842999,11381
843999,11247
844999,11269
845999,11363
846999,11413
847999,11520
848999,11388
849999,11525
850999,11456
851999,11444
852999,11565
853999,11350
854999,11405
855999,11084
856999,11100
857999,11227
