n,ipl
1000,10742
1050,10922
1100,12425
1150,13492
1200,14654
1250,15248
1300,16645
1350,15505
1400,16836
1450,16670
1500,18572
1550,19561
1600,19191
1650,19979
1700,21207
1750,22464
1800,22798
1850,24038
1900,24581
1950,25621
2000,27215
