n,ipl
1000,10890
1050,11525
1100,12174
1150,12818
1200,13466
1250,14119
1300,14752
1350,15457
1400,16109
1450,16749
1500,17408
1550,18090
1600,18750
1650,19458
1700,20164
1750,20895
1800,21651
1850,22328
1900,22998
1950,23699
2000,24396
