n,In
10000,17.6164
15000,18.4244
20000,19.0206
25000,19.4715
30000,19.8378
35000,20.145
40000,20.4222
45000,20.6583
50000,20.8714
55000,21.0553
60000,21.2328
65000,21.3929
70000,21.5414
75000,21.6758
80000,21.8055
85000,21.9312
90000,22.0478
95000,22.1555
100000,22.2569
105000,22.356
110000,22.4498
115000,22.5432
120000,22.6304
125000,22.7159
130000,22.7962
135000,22.8703
140000,22.9484
145000,23.0193
150000,23.0883
155000,23.1521
160000,23.2177
165000,23.2796
170000,23.3418
175000,23.398
180000,23.4526
185000,23.5081
190000,23.5601
195000,23.6117
200000,23.663
