n,In
10000,17.2466
15000,18.0508
20000,18.6261
25000,19.0926
30000,19.4612
35000,19.7593
40000,20.0292
45000,20.2652
50000,20.4728
55000,20.6686
60000,20.8486
65000,21.0121
70000,21.1617
75000,21.2972
80000,21.4387
85000,21.5614
90000,21.6737
95000,21.7845
100000,21.8857
105000,21.984
110000,22.0721
115000,22.1553
120000,22.2442
125000,22.3259
130000,22.4006
135000,22.4747
140000,22.5453
145000,22.6151
150000,22.6829
155000,22.7445
160000,22.8068
165000,22.8716
170000,22.9318
175000,22.9864
180000,23.0432
185000,23.0954
190000,23.1454
195000,23.1963
200000,23.2442
