n,In
10000,18.4996
15000,19.3025
20000,19.8907
25000,20.3184
30000,20.7054
35000,21.0139
40000,21.2818
45000,21.5134
50000,21.7282
55000,21.9196
60000,22.0984
65000,22.2683
70000,22.4091
75000,22.5475
80000,22.6701
85000,22.7886
90000,22.8959
95000,23.0035
100000,23.104
105000,23.2055
110000,23.2991
115000,23.3901
120000,23.4714
125000,23.5512
130000,23.628
135000,23.7051
140000,23.7792
145000,23.8469
150000,23.9144
155000,23.9811
160000,24.0431
165000,24.0998
170000,24.1554
175000,24.2147
180000,24.2703
185000,24.3237
190000,24.3741
195000,24.4269
200000,24.4749
