n,In
10000,16.7059
15000,17.5353
20000,18.1042
25000,18.5323
30000,18.8727
35000,19.1859
40000,19.4458
45000,19.6753
50000,19.8893
55000,20.0722
60000,20.2568
65000,20.4199
70000,20.5713
75000,20.7056
80000,20.83
85000,20.9527
90000,21.0655
95000,21.1692
100000,21.273
105000,21.3786
110000,21.472
115000,21.5622
120000,21.6464
125000,21.7303
130000,21.8054
135000,21.8823
140000,21.9512
145000,22.0201
150000,22.0895
155000,22.1578
160000,22.2229
165000,22.2859
170000,22.3435
175000,22.4003
180000,22.453
185000,22.5061
190000,22.5577
195000,22.6089
200000,22.6602
