n,In
10000,17.9937
15000,18.7898
20000,19.3834
25000,19.8378
30000,20.2086
35000,20.5261
40000,20.7937
45000,21.0053
50000,21.2232
55000,21.3991
60000,21.5727
65000,21.7267
70000,21.8733
75000,22.0072
80000,22.1356
85000,22.2568
90000,22.3711
95000,22.4779
100000,22.5783
105000,22.6772
110000,22.7722
115000,22.8621
120000,22.9443
125000,23.0254
130000,23.1058
135000,23.1769
140000,23.251
145000,23.3207
150000,23.3874
155000,23.4569
160000,23.5213
165000,23.5833
170000,23.641
175000,23.6971
180000,23.7546
185000,23.8143
190000,23.8676
195000,23.9183
200000,23.9666
