n,In
10000,16.5737
15000,17.4003
20000,17.9712
25000,18.4177
30000,18.7745
35000,19.0854
40000,19.3413
45000,19.5702
50000,19.7765
55000,19.9802
60000,20.1557
65000,20.3176
70000,20.4705
75000,20.6017
80000,20.7255
85000,20.8445
90000,20.9641
95000,21.0685
100000,21.169
105000,21.2647
110000,21.359
115000,21.4515
120000,21.5398
125000,21.6187
130000,21.6997
135000,21.7789
140000,21.8497
145000,21.9168
150000,21.9845
155000,22.0491
160000,22.1127
165000,22.1747
170000,22.2357
175000,22.2955
180000,22.3513
185000,22.4075
190000,22.4605
195000,22.5143
200000,22.5657
