n,In
10000,17.9004
15000,18.7296
20000,19.2911
25000,19.7488
30000,20.1195
35000,20.4276
40000,20.6878
45000,20.9187
50000,21.126
55000,21.3185
60000,21.4905
65000,21.6503
70000,21.7999
75000,21.9474
80000,22.0788
85000,22.1944
90000,22.3039
95000,22.4136
100000,22.5229
105000,22.6243
110000,22.7134
115000,22.8042
120000,22.885
125000,22.9651
130000,23.0413
135000,23.1165
140000,23.1869
145000,23.2598
150000,23.3278
155000,23.3924
160000,23.4578
165000,23.5199
170000,23.5773
175000,23.6361
180000,23.6928
185000,23.7478
190000,23.8028
195000,23.8563
200000,23.9064
