n,In
10000,18.6926
15000,19.5017
20000,20.0578
25000,20.4899
30000,20.8463
35000,21.173
40000,21.4449
45000,21.6877
50000,21.8936
55000,22.0829
60000,22.2533
65000,22.41
70000,22.5581
75000,22.6961
80000,22.8207
85000,22.9427
90000,23.0566
95000,23.1672
100000,23.2651
105000,23.3587
110000,23.4507
115000,23.5365
120000,23.6188
125000,23.7029
130000,23.7794
135000,23.8561
140000,23.9324
145000,24.001
150000,24.0704
155000,24.131
160000,24.194
165000,24.2554
170000,24.3154
175000,24.3727
180000,24.4312
185000,24.4878
190000,24.5419
195000,24.5921
200000,24.6436
