n,In
10000,17.4774
15000,18.2962
20000,18.8657
25000,19.3255
30000,19.6767
35000,19.9899
40000,20.2546
45000,20.489
50000,20.71
55000,20.8914
60000,21.0726
65000,21.2302
70000,21.3711
75000,21.5072
80000,21.6323
85000,21.7556
90000,21.8711
95000,21.9853
100000,22.0832
105000,22.1769
110000,22.2731
115000,22.363
120000,22.4487
125000,22.5372
130000,22.6155
135000,22.6929
140000,22.7656
145000,22.833
150000,22.9027
155000,22.9664
160000,23.0314
165000,23.0956
170000,23.1545
175000,23.2128
180000,23.272
185000,23.3266
190000,23.3782
195000,23.4295
200000,23.479
