n,In
10000,18.2565
15000,19.0774
20000,19.6656
25000,20.0916
30000,20.4653
35000,20.7811
40000,21.0395
45000,21.2689
50000,21.4858
55000,21.6834
60000,21.8573
65000,22.0192
70000,22.1652
75000,22.2957
80000,22.4186
85000,22.537
90000,22.6531
95000,22.761
100000,22.8625
105000,22.959
110000,23.0529
115000,23.1436
120000,23.2301
125000,23.3088
130000,23.3894
135000,23.465
140000,23.5345
145000,23.6057
150000,23.6751
155000,23.7408
160000,23.8069
165000,23.8723
170000,23.9331
175000,23.9909
180000,24.0467
185000,24.1029
190000,24.1588
195000,24.2103
200000,24.261
