n,In
10000,17.8432
15000,18.6215
20000,19.1868
25000,19.6342
30000,20.0114
35000,20.3375
40000,20.6083
45000,20.8493
50000,21.0539
55000,21.2314
60000,21.4066
65000,21.5732
70000,21.7263
75000,21.8673
80000,21.9971
85000,22.118
90000,22.232
95000,22.3424
100000,22.4413
105000,22.5361
110000,22.6256
115000,22.7194
120000,22.805
125000,22.8789
130000,22.9571
135000,23.0319
140000,23.1064
145000,23.1751
150000,23.2439
155000,23.3125
160000,23.3746
165000,23.4373
170000,23.4966
175000,23.5576
180000,23.6161
185000,23.6706
190000,23.721
195000,23.7718
200000,23.8208
