n,In
10000,19.0959
15000,19.8565
20000,20.4182
25000,20.8466
30000,21.2234
35000,21.5272
40000,21.7888
45000,22.0274
50000,22.2436
55000,22.4446
60000,22.6019
65000,22.7666
70000,22.9141
75000,23.0472
80000,23.1765
85000,23.3008
90000,23.4049
95000,23.5121
100000,23.6144
105000,23.7147
110000,23.814
115000,23.8965
120000,23.9805
125000,24.0637
130000,24.1413
135000,24.2155
140000,24.287
145000,24.359
150000,24.4272
155000,24.49
160000,24.5536
165000,24.6157
170000,24.6804
175000,24.74
180000,24.7931
185000,24.8462
190000,24.8978
195000,24.9494
200000,25.0028
