n,In
10000,17.4315
15000,18.2525
20000,18.8256
25000,19.2537
30000,19.6097
35000,19.9149
40000,20.1764
45000,20.4025
50000,20.6181
55000,20.8148
60000,20.9921
65000,21.1622
70000,21.3106
75000,21.4511
80000,21.5873
85000,21.7077
90000,21.8227
95000,21.9309
100000,22.0339
105000,22.1302
110000,22.2207
115000,22.3095
120000,22.3991
125000,22.4775
130000,22.5512
135000,22.6282
140000,22.6975
145000,22.767
150000,22.8345
155000,22.897
160000,22.9618
165000,23.0249
170000,23.0796
175000,23.1381
180000,23.1936
185000,23.2489
190000,23.3016
195000,23.3524
200000,23.4057
