n,In
10000,17.0472
15000,17.8541
20000,18.4262
25000,18.8765
30000,19.2429
35000,19.5363
40000,19.811
45000,20.0518
50000,20.2633
55000,20.4478
60000,20.6171
65000,20.7751
70000,20.9292
75000,21.0675
80000,21.1901
85000,21.3074
90000,21.4186
95000,21.5283
100000,21.6323
105000,21.7267
110000,21.8204
115000,21.9073
120000,21.9886
125000,22.0707
130000,22.1473
135000,22.2246
140000,22.2927
145000,22.3644
150000,22.4296
155000,22.4956
160000,22.5573
165000,22.6176
170000,22.6746
175000,22.7324
180000,22.79
185000,22.8416
190000,22.8964
195000,22.949
200000,22.9949
