n,In
10000,17.258
15000,18.0558
20000,18.602
25000,19.0495
30000,19.4103
35000,19.7121
40000,19.9874
45000,20.2316
50000,20.4506
55000,20.6505
60000,20.8249
65000,20.9838
70000,21.1244
75000,21.2637
80000,21.394
85000,21.5144
90000,21.6249
95000,21.735
100000,21.8363
105000,21.9324
110000,22.0299
115000,22.1184
120000,22.2022
125000,22.2842
130000,22.3635
135000,22.4361
140000,22.5093
145000,22.5764
150000,22.6404
155000,22.7074
160000,22.7719
165000,22.8334
170000,22.893
175000,22.9492
180000,23.0062
185000,23.0627
190000,23.1127
195000,23.1652
200000,23.2166
