n,In
10000,17.286
15000,18.0902
20000,18.6856
25000,19.1551
30000,19.5139
35000,19.823
40000,20.0822
45000,20.3124
50000,20.5109
55000,20.6897
60000,20.8678
65000,21.0287
70000,21.178
75000,21.3078
80000,21.431
85000,21.5588
90000,21.6615
95000,21.7734
100000,21.8726
105000,21.9733
110000,22.0627
115000,22.1524
120000,22.2363
125000,22.3218
130000,22.4015
135000,22.4799
140000,22.5523
145000,22.621
150000,22.6894
155000,22.7584
160000,22.8251
165000,22.8829
170000,22.941
175000,22.9996
180000,23.0558
185000,23.1086
190000,23.1646
195000,23.2145
200000,23.2641
