n,In
10000,17.9214
15000,18.6655
20000,19.201
25000,19.6723
30000,20.0465
35000,20.3615
40000,20.6453
45000,20.8756
50000,21.0923
55000,21.2778
60000,21.4566
65000,21.6129
70000,21.7572
75000,21.8993
80000,22.0224
85000,22.1402
90000,22.2574
95000,22.3704
100000,22.4773
105000,22.5796
110000,22.67
115000,22.7573
120000,22.8373
125000,22.9185
130000,22.9992
135000,23.0767
140000,23.1469
145000,23.215
150000,23.2827
155000,23.3503
160000,23.4165
165000,23.4784
170000,23.5366
175000,23.5963
180000,23.6509
185000,23.7071
190000,23.7616
195000,23.8116
200000,23.8638
