n,In
10000,17.9653
15000,18.8123
20000,19.404
25000,19.8316
30000,20.1802
35000,20.4847
40000,20.7476
45000,20.9696
50000,21.1713
55000,21.3619
60000,21.5363
65000,21.7021
70000,21.8533
75000,21.9867
80000,22.1136
85000,22.2436
90000,22.3609
95000,22.4676
100000,22.568
105000,22.6691
110000,22.7605
115000,22.8528
120000,22.9393
125000,23.0244
130000,23.1012
135000,23.1779
140000,23.2475
145000,23.32
150000,23.3855
155000,23.4488
160000,23.5102
165000,23.575
170000,23.6365
175000,23.6929
180000,23.7506
185000,23.8085
190000,23.8593
195000,23.9118
200000,23.9622
