n,In
10000,17.1215
15000,17.9004
20000,18.4968
25000,18.9516
30000,19.3233
35000,19.6344
40000,19.9013
45000,20.1274
50000,20.3445
55000,20.5254
60000,20.7006
65000,20.8652
70000,21.0134
75000,21.1578
80000,21.288
85000,21.4085
90000,21.531
95000,21.6418
100000,21.7455
105000,21.8368
110000,21.9281
115000,22.0167
120000,22.1006
125000,22.1857
130000,22.2632
135000,22.3393
140000,22.4118
145000,22.4811
150000,22.5467
155000,22.6151
160000,22.6775
165000,22.7385
170000,22.7952
175000,22.8549
180000,22.9135
185000,22.9674
190000,23.0238
195000,23.0752
200000,23.1225
