n,ipl
10000,158950
15000,251374
20000,346160
25000,444217
30000,544342
35000,646281
40000,749473
45000,853842
50000,959393
55000,1065951
60000,1172686
65000,1280467
70000,1388305
75000,1497895
80000,1607935
85000,1718471
90000,1828783
95000,1940807
100000,2053203
105000,2165924
110000,2279511
115000,2392713
120000,2506989
125000,2620922
130000,2735763
135000,2850681
140000,2965892
145000,3081404
150000,3197687
155000,3313471
160000,3430257
165000,3547531
170000,3664599
175000,3781881
180000,3899314
185000,4016896
190000,4135646
195000,4254623
200000,4373068
