n,ipl
10000,145644
15000,230579
20000,319037
25000,409664
30000,502709
35000,597628
40000,693776
45000,791245
50000,889659
55000,988807
60000,1088588
65000,1189736
70000,1290871
75000,1393721
80000,1496765
85000,1600347
90000,1704384
95000,1809723
100000,1915053
105000,2020645
110000,2126821
115000,2232773
120000,2339461
125000,2447151
130000,2554245
135000,2662620
140000,2771099
145000,2879493
150000,2988688
155000,3098413
160000,3208643
165000,3319269
170000,3429700
175000,3539945
180000,3650474
185000,3761946
190000,3873630
195000,3985168
200000,4097343
