n,ipl
10000,160471
15000,252861
20000,347997
25000,445871
30000,545681
35000,647104
40000,750228
45000,854513
50000,959626
55000,1066465
60000,1173656
65000,1281412
70000,1390513
75000,1500711
80000,1610722
85000,1721904
90000,1833208
95000,1944939
100000,2057918
105000,2170658
110000,2283494
115000,2397606
120000,2511557
125000,2624826
130000,2738905
135000,2854035
140000,2969459
145000,3085778
150000,3201679
155000,3317935
160000,3435311
165000,3551811
170000,3669231
175000,3787138
180000,3904641
185000,4022273
190000,4140442
195000,4258760
200000,4377783
