n,ipl
10000,151784
15000,240409
20000,332258
25000,426338
30000,522590
35000,620592
40000,719675
45000,820270
50000,921912
55000,1024038
60000,1127034
65000,1231441
70000,1336190
75000,1442091
80000,1548692
85000,1655203
90000,1762833
95000,1870226
100000,1978593
105000,2087589
110000,2197073
115000,2307195
120000,2417034
125000,2527862
130000,2638936
135000,2750908
140000,2862930
145000,2974920
150000,3087805
155000,3200962
160000,3314204
165000,3427461
170000,3540720
175000,3654334
180000,3768499
185000,3882931
190000,3997419
195000,4112182
200000,4227048
