tpl,tpu
262.65,13.65
555.3,54.75
876.1,127.7
1235.85,231.15
1643.05,368.85
2118.6,558.25
2666.8,792.55
3329.1,1106.3
4213.7,1489.0
5568.25,1968.05
7652.15,2633.7
10656.9,3522.25
11690.1,4638.45
13559.7,5918.7
14487.7,7315.2
14932.25,8794.75
15403.3,10319.65
15981.0,11914.75
17476.35,13511.4
15517.25,15128.45
17488.65,16746.45
15559.75,18349.75
15993.45,19945.05
14900.2,21527.45
15987.45,23095.55
15255.0,24646.05
14493.6,26165.7
14786.3,27677.85
15265.95,29177.1
14814.9,30652.5
15165.25,32108.1
13941.9,33550.05
14158.65,34953.25
13398.55,36334.0
13657.45,37684.2
13532.45,39017.0
12568.95,40319.05
12375.85,41597.85
12479.85,42866.4
13199.8,44115.0
12535.1,45349.4
12344.4,46584.05
12001.35,47782.15
12245.2,48951.75
11297.2,50106.1
11235.2,51249.65
11527.85,52395.4
10662.9,53495.25
10922.3,54588.55
11269.5,55675.2
10665.4,56764.8
10622.95,57830.5
10123.7,58857.6
10173.55,59891.9
10083.5,60934.55
10418.85,61962.45
9721.9,62975.0
10016.3,63974.15
9774.95,64970.2
10094.0,65967.45
9677.55,66947.05
9645.05,67921.75
9392.25,68873.8
9049.7,69803.8
9398.0,70742.8
8947.6,71660.85
9420.65,72567.25
8829.85,73474.4
8806.526315789473,74356.68421052632
8964.473684210527,75238.21052631579
8782.333333333334,76102.22222222222
8532.470588235294,76932.58823529411
8602.941176470587,77800.64705882352
8870.70588235294,78659.0
8661.529411764706,79525.88235294117
8456.70588235294,80372.11764705883
8183.125,81159.0625
7951.9375,81970.0625
7653.1875,82752.0
7512.0,83736.6
7437.266666666666,84472.0
7366.933333333333,85218.33333333333
7651.428571428572,86031.57142857143
7556.928571428572,86795.07142857143
7077.333333333333,87412.16666666667
7216.545454545455,88050.09090909091
6994.090909090909,88761.27272727272
6799.545454545455,89449.54545454546
6440.3,90136.4
6155.0,90502.66666666667
6645.25,91484.875
6422.75,92138.375
6280.375,92777.875
6253.285714285715,93679.85714285714
6130.142857142857,94301.42857142857
6018.857142857143,94911.57142857143
5920.857142857143,95509.28571428571
5564.333333333333,95778.33333333333
6220.833333333333,96399.33333333333
6142.4,96579.2
6029.6,97187.8
5929.6,97786.2
5839.6,98374.4
5761.0,98952.4
5690.0,99522.8
