tpl,tpu
250.9,13.2
508.05,51.05
774.1,114.7
1053.05,205.3
1347.1,319.65
1674.3,475.25
2028.75,658.15
2432.25,888.25
2918.2,1154.15
3565.75,1469.85
4423.85,1868.75
4944.4,2334.95
5277.6,2846.75
5463.85,3383.75
5581.5,3933.3
5635.9,4492.8
5672.2,5051.55
5685.45,5619.8
5668.05,6192.3
5650.7,6756.5
5618.15,7323.25
5582.6,7885.4
5551.25,8439.15
5514.95,8994.5
5483.7,9539.35
5445.65,10088.95
5408.15,10635.3
5375.95,11174.65
5351.5,11708.65
5325.95,12239.95
5302.2,12768.1
5276.3,13298.45
5257.0,13822.65
5236.65,14345.95
5215.3,14869.15
5196.65,15389.45
5180.5,15908.0
5163.5,16426.4
5148.6,16942.45
5134.95,17456.65
5121.7,17970.95
5108.25,18484.25
5099.2,18993.9
5090.25,19503.3
5081.3,20012.7
5073.7,20520.55
5067.05,21027.2
5061.25,21533.05
5056.25,22038.05
5050.6,22543.75
5046.6,23047.65
5041.6,23552.7
5037.75,24056.75
5035.35,24559.05
5033.45,25061.05
5029.35,25565.1
5026.0,26068.45
5023.75,26570.6
5021.5,27072.8
5019.65,27574.55
5017.5,28076.6
5016.05,28578.05
5014.15,29079.9
5012.65,29581.3
5011.2,30082.45
5009.45,30584.15
5008.95,31084.6
5008.2,31585.25
5006.263157894737,32090.0
5005.894736842105,32590.36842105263
5005.666666666667,33094.27777777778
5004.941176470588,33597.294117647056
5004.294117647059,34097.82352941176
5003.64705882353,34598.23529411765
5003.470588235294,35098.470588235294
5003.0,35598.82352941176
5001.8125,36105.375
5001.5625,36605.5625
5001.3125,37105.5625
5000.8,37602.2
5000.8,38102.0
5000.533333333334,38602.066666666666
5000.428571428572,39106.07142857143
5000.357142857143,39606.07142857143
5000.166666666667,40104.333333333336
5000.363636363636,40610.09090909091
5000.181818181818,41110.181818181816
5000.0,41610.181818181816
4999.8,42110.6
4999.444444444444,42620.11111111111
4999.0,43129.875
4998.875,43629.75
4998.875,44129.625
4998.857142857143,44621.28571428572
4998.857142857143,45121.28571428572
4998.714285714285,45621.42857142857
4998.714285714285,46121.28571428572
4998.333333333333,46616.166666666664
4998.333333333333,47116.166666666664
4998.2,47616.0
4998.0,48116.2
4998.0,48616.2
4998.0,49116.2
4998.0,49616.0
4998.2,50115.8
