tpl,tpu
250.25,0.0
502.0,0.0
755.8,0.15
1013.9,0.6
1275.1,1.6
1542.85,3.05
1820.3,5.85
2104.65,10.85
2399.2,17.2
2701.7,26.45
3020.65,37.1
3349.3,53.45
3696.4,72.05
4065.35,97.75
4449.2,128.95
4872.45,166.95
5325.2,215.7
5827.9,276.2
6406.7,352.45
7127.3,450.2
8033.3,577.6
8968.3,737.3
9554.65,919.6
10183.8,1118.35
10495.55,1331.55
10788.05,1545.0
11061.7,1758.55
11249.7,1985.25
11390.55,2213.65
11522.8,2430.65
11612.15,2644.8
11673.85,2859.8
11712.1,3070.65
11727.85,3276.6
11747.0,3467.9
11747.3,3656.3
11738.15,3839.55
11713.95,4018.5
11681.6,4191.55
11668.5,4351.15
11627.95,4512.15
11599.2,4664.4
11553.95,4813.5
11515.65,4957.35
11468.3,5095.25
11422.8,5225.0
11379.8,5350.7
11337.4,5471.0
11293.65,5584.65
11246.15,5693.25
11199.7,5799.1
11155.8,5900.8
11116.45,5995.05
11075.05,6086.25
11034.4,6175.6
10993.5,6259.4
10950.6,6341.1
10906.4,6419.7
10869.3,6493.95
10832.5,6565.7
10794.75,6634.7
10762.2,6699.5
10727.9,6759.45
10699.1,6816.35
10670.25,6871.05
10645.95,6922.75
10617.65,6973.05
10590.1,7020.25
10565.1,7065.25
10541.75,7107.8
10516.05,7151.3
10491.85,7190.7
10470.15,7229.2
10448.6,7266.1
10430.55,7299.75
10409.05,7333.6
10389.2,7364.45
10370.05,7394.9
10353.15,7423.85
10335.7,7451.7
10319.8,7478.2
10306.25,7501.3
10294.05,7523.1
10281.9,7543.85
10268.25,7566.4
10256.8,7585.65
10244.65,7604.5
10234.2,7622.55
10225.9,7638.05
10215.2,7654.45
10205.65,7670.4
10196.35,7685.25
10187.15,7699.25
10178.95,7712.65
10169.85,7725.7
10160.95,7738.55
10152.85,7751.4
10145.15,7763.5
10136.8,7775.2
10129.85,7785.95
10124.2,7795.45
10117.55,7804.7
10112.55,7813.4
10109.3,7819.9
10104.9,7827.1
10100.0,7834.75
10094.5,7841.95
10088.15,7850.2
10083.75,7856.8
10079.85,7863.3
10075.7,7869.2
10072.1,7874.85
10069.2,7879.4
10066.55,7884.4
10062.55,7889.9
10059.4,7894.55
10057.25,7898.75
10054.2,7902.8
10051.4,7906.55
10048.75,7910.1
10045.9,7913.75
10042.8,7917.9
10041.45,7921.05
10039.2,7924.2
10037.15,7927.2
10034.55,7930.6
10033.3,7932.9
10031.55,7935.4
10029.35,7938.35
10027.9,7940.75
10026.35,7943.05
10025.1,7944.95
10023.75,7946.85
10022.6,7948.65
10021.45,7950.45
10020.45,7952.0
10019.5,7953.4
10018.75,7954.65
10017.85,7956.25
10016.7,7957.85
10015.25,7959.55
10014.6,7960.7
10013.8,7961.65
10012.7,7963.0
10012.05,7964.05
10011.25,7965.3
10010.9,7966.15
10010.65,7966.85
10010.25,7967.5
10010.15,7968.25
10009.8,7968.8
10009.4,7969.45
10008.65,7970.4
10008.4,7971.0
10007.95,7971.55
10007.631578947368,7977.0
10007.0,7977.736842105263
10006.315789473685,7978.473684210527
10006.157894736842,7978.894736842105
10005.736842105263,7979.368421052632
10005.526315789473,7979.789473684211
10005.315789473685,7980.263157894737
10005.421052631578,7980.315789473684
10005.157894736842,7980.789473684211
10004.882352941177,7992.117647058823
10004.588235294117,7992.64705882353
10004.411764705883,7992.823529411765
10004.29411764706,7993.176470588235
10004.29411764706,7993.35294117647
10004.176470588236,7993.470588235294
10003.4375,8001.0625
10003.1875,8001.4375
10002.8,8011.866666666667
10002.57142857143,8014.142857142857
10002.285714285714,8014.5
10002.0,8019.307692307692
10001.615384615385,8019.692307692308
10001.307692307691,8020.0
10001.0,8025.833333333333
10001.083333333334,8025.833333333333
10001.083333333334,8025.916666666667
10001.166666666666,8025.916666666667
10001.083333333334,8026.0
10000.833333333334,8026.333333333333
10000.727272727272,8032.272727272727
10000.545454545454,8032.454545454545
10000.545454545454,8032.454545454545
10000.111111111111,8059.888888888889
10000.111111111111,8059.888888888889
9999.888888888889,8060.111111111111
9999.888888888889,8060.111111111111
9999.888888888889,8060.111111111111
9999.777777777777,8060.222222222223
9999.714285714286,8073.571428571428
9999.285714285714,8074.0
9999.285714285714,8074.0
9999.142857142857,8074.142857142857
9999.42857142857,8074.142857142857
9999.42857142857,8074.142857142857
9999.42857142857,8074.142857142857
9999.285714285714,8074.285714285715
9999.285714285714,8074.285714285715
9999.0,8074.571428571428
9999.0,8092.666666666667
9998.833333333334,8092.833333333333
9998.833333333334,8092.833333333333
9998.833333333334,8092.833333333333
9998.833333333334,8092.833333333333
9998.6,8089.8
