n,ipl
1999,25210
3999,25184
5999,24915
7999,24943
9999,24945
11999,24746
13999,24729
15999,24574
17999,24510
19999,24369
21999,24723
23999,24787
25999,24855
27999,24937
29999,24570
31999,24679
33999,24591
35999,24568
37999,24453
39999,24543
41999,24375
43999,24564
45999,24367
47999,24377
49999,24207
51999,24148
53999,24363
55999,24346
57999,24126
59999,24275
61999,24317
63999,24336
65999,24280
67999,24139
69999,24289
71999,24304
73999,24379
75999,24374
77999,24384
79999,24288
81999,24101
83999,23919
85999,23941
87999,23998
89999,24318
91999,24255
93999,24175
95999,24192
97999,24309
99999,24391
101999,24181
103999,24006
105999,24055
107999,24232
109999,23925
111999,24205
113999,24095
115999,23994
117999,23986
119999,24159
121999,24141
123999,24332
125999,24352
127999,24086
129999,24013
131999,24135
133999,24133
135999,23923
137999,24166
139999,24170
141999,23889
143999,23858
145999,23925
147999,24025
149999,24086
151999,24067
153999,24066
155999,23973
157999,23904
159999,23953
161999,24076
163999,24007
165999,23871
167999,23936
169999,23996
171999,24175
173999,24004
175999,23851
177999,23935
179999,23906
181999,23909
183999,23886
185999,23921
187999,23974
189999,24009
191999,23920
193999,23707
195999,23877
197999,23709
199999,23693
201999,23565
203999,23444
205999,23681
207999,23762
209999,23908
211999,23694
213999,23657
215999,23809
217999,23768
219999,23632
221999,23644
223999,23675
225999,23717
227999,23664
229999,23864
231999,23795
233999,23830
235999,23714
237999,23647
239999,23493
241999,23653
243999,23692
245999,23664
247999,23645
249999,23710
251999,23683
253999,23747
255999,23633
257999,23703
259999,23751
261999,23817
263999,23972
265999,23844
267999,23807
269999,23927
271999,23929
273999,23914
275999,23956
277999,23896
279999,23867
281999,23552
283999,23460
285999,23558
287999,23773
289999,23818
291999,23622
293999,23708
295999,23792
297999,23867
299999,24065
301999,24032
303999,24014
305999,23931
307999,23949
309999,23961
311999,23743
313999,23797
315999,23599
317999,23675
319999,23603
321999,23874
323999,23842
325999,23889
327999,23883
329999,23679
331999,23505
333999,23544
335999,23595
337999,23599
339999,23850
341999,23803
343999,23798
345999,23736
347999,23878
349999,23992
351999,24083
353999,23912
355999,23843
357999,23921
359999,24005
361999,24021
363999,23944
365999,24189
367999,24069
369999,24053
371999,24257
373999,23912
375999,24062
377999,23936
379999,23902
381999,23954
383999,23962
385999,23875
387999,24189
389999,24040
391999,23941
393999,23972
395999,23848
397999,23864
399999,24047
401999,22566
403999,22538
405999,22480
407999,22491
409999,22492
411999,22538
413999,22687
415999,22631
417999,22409
419999,22445
421999,22592
423999,22651
425999,22673
427999,22556
429999,22530
431999,22693
433999,22552
435999,22564
437999,22648
439999,22652
441999,22703
443999,22928
445999,22705
447999,22518
449999,22611
451999,22833
453999,22563
455999,22448
457999,22524
459999,22536
461999,22567
463999,22512
465999,22576
467999,22620
469999,22593
471999,22525
473999,22598
475999,22733
477999,22629
479999,22623
481999,22586
483999,22637
485999,22772
487999,22701
489999,22444
491999,22361
493999,22523
495999,22539
497999,22392
499999,22444
501999,22509
503999,22495
505999,22705
507999,22392
509999,22705
511999,22415
513999,22359
515999,22412
517999,22406
519999,22433
521999,22307
523999,22490
525999,22449
527999,22398
529999,22470
531999,22497
533999,22508
535999,22592
537999,22539
539999,22653
541999,22722
543999,22682
545999,22584
547999,22596
549999,22692
551999,22767
553999,22590
555999,22559
557999,22520
559999,22502
561999,22521
563999,22604
565999,22665
567999,22714
569999,22571
571999,22571
573999,22454
575999,22600
577999,22728
579999,22830
581999,22808
583999,22714
585999,22640
587999,22653
589999,22442
591999,22328
593999,22442
595999,22561
597999,22522
599999,22590
601999,22672
603999,22607
605999,22526
607999,22644
609999,22548
611999,22479
613999,22621
615999,22645
617999,22737
619999,22746
621999,22833
623999,22802
625999,22549
627999,22480
629999,22645
631999,22521
633999,22644
635999,22619
637999,22506
639999,22593
641999,22571
643999,22675
645999,22596
647999,22605
649999,22699
651999,22647
653999,22817
655999,22685
657999,22455
659999,22626
661999,22639
663999,22603
665999,22630
667999,22368
669999,22403
671999,22504
673999,22682
675999,22604
677999,22564
679999,22530
681999,22623
683999,22475
685999,22420
687999,22474
689999,22625
691999,22684
693999,22629
695999,22692
697999,22578
699999,22464
701999,22491
703999,22394
