n,ipl
1499,17365
2999,17218
4499,17119
5999,17333
7499,17154
8999,17117
10499,16967
11999,16916
13499,16981
14999,16857
16499,16994
17999,17009
19499,16842
20999,16915
22499,16946
23999,17011
25499,16932
26999,16987
28499,16987
29999,16950
31499,16819
32999,16796
34499,16826
35999,16709
37499,16779
38999,16861
40499,16889
41999,16929
43499,16887
44999,16802
46499,16563
47999,16643
49499,16721
50999,16683
52499,16811
53999,16871
55499,16818
56999,16840
58499,16708
59999,16709
61499,16634
62999,16759
64499,16666
65999,16728
67499,16680
68999,16807
70499,16807
71999,16722
73499,16701
74999,16659
76499,16860
77999,16847
79499,16898
80999,16792
82499,16778
83999,16847
85499,16738
86999,16021
88499,16127
89999,16072
91499,15900
92999,15955
94499,15942
95999,15849
97499,15903
98999,15746
100499,15731
101999,15789
103499,15843
104999,15824
106499,15895
107999,15921
109499,15923
110999,15940
112499,15889
113999,15879
115499,15995
116999,15822
118499,15947
119999,16030
121499,16044
122999,16038
124499,15917
125999,15934
127499,16101
128999,16028
130499,16035
131999,16031
133499,16041
134999,16073
136499,16016
137999,16102
139499,15996
140999,15975
142499,16059
143999,16085
145499,15885
146999,16062
148499,16012
149999,16091
151499,16142
152999,16230
154499,16038
155999,15938
157499,16049
158999,16118
160499,16214
161999,16049
163499,16243
164999,16114
166499,16100
167999,16145
169499,16197
170999,16059
172499,15973
173999,16009
175499,16227
176999,16122
178499,16231
179999,16226
181499,16164
182999,16179
184499,16179
185999,16212
187499,16302
188999,16311
190499,16108
191999,16130
193499,16155
194999,16199
196499,16082
197999,15953
199499,16130
200999,16084
202499,15984
203999,16116
205499,16058
206999,16270
208499,16105
209999,16032
211499,16115
212999,16194
214499,16189
215999,16088
217499,16080
218999,16145
220499,15957
221999,16153
223499,16207
224999,16245
226499,16243
227999,16241
229499,16249
230999,16046
232499,16107
233999,16151
235499,16174
236999,16105
238499,16090
239999,16119
241499,16252
242999,16196
244499,16254
245999,16370
247499,16200
248999,16064
250499,16094
251999,16163
253499,16268
254999,16211
256499,16042
257999,16016
259499,16050
260999,16088
262499,16209
263999,16145
265499,16224
266999,16071
268499,16032
269999,16134
271499,16238
272999,16292
274499,16347
275999,16295
277499,16429
278999,16337
280499,16340
281999,16229
283499,16275
284999,16335
286499,16212
287999,16199
289499,16148
290999,16076
292499,16110
293999,16023
295499,15973
296999,15947
298499,16023
299999,16080
301499,15948
302999,15953
304499,15976
305999,16126
307499,16122
308999,16044
310499,16114
311999,16137
313499,16083
314999,16049
316499,16089
317999,16111
319499,16144
320999,16185
322499,16252
323999,16146
325499,16265
326999,16251
328499,16319
329999,16346
331499,16374
332999,16367
334499,16395
335999,16325
337499,16217
338999,16160
340499,16313
341999,16410
343499,16445
344999,16546
346499,16416
347999,16506
349499,16596
350999,16388
352499,16426
353999,16342
