n,ipl
1999,24130
3999,24050
5999,23889
7999,23963
9999,23890
11999,23645
13999,23486
15999,23548
17999,23495
19999,23323
21999,23330
23999,23377
25999,23320
27999,23358
29999,23390
31999,23374
33999,23451
35999,23467
37999,23526
39999,23437
41999,23163
43999,23186
45999,23244
47999,23041
49999,23065
51999,23202
53999,23228
55999,23270
57999,23336
59999,23390
61999,23271
63999,23330
65999,23250
67999,23227
69999,23358
71999,23272
73999,23464
75999,23627
77999,23577
79999,23535
81999,23452
83999,23294
85999,23209
87999,23105
89999,23294
91999,23273
93999,23283
95999,23043
97999,22965
99999,23020
101999,22826
103999,22927
105999,23094
107999,23188
109999,23163
111999,23298
113999,23196
115999,23403
117999,23384
119999,23365
121999,23327
123999,23307
125999,23302
127999,23220
129999,23057
131999,23091
133999,23037
135999,23365
137999,23410
139999,23299
141999,23059
143999,23245
145999,23345
147999,23346
149999,23224
151999,23169
153999,23312
155999,23258
157999,23321
159999,23146
161999,23216
163999,23224
165999,23407
167999,23189
169999,23215
171999,23431
173999,23233
175999,23268
177999,23248
179999,23086
181999,23140
183999,23196
185999,23254
187999,23387
189999,23493
191999,23350
193999,23334
195999,23176
197999,23050
199999,22962
201999,23216
203999,23407
205999,23339
207999,23438
209999,23433
211999,23371
213999,23294
215999,23387
217999,23404
219999,23260
221999,23379
223999,23463
225999,23412
227999,23322
229999,23466
231999,23338
233999,23326
235999,23120
237999,23113
239999,23144
241999,23225
243999,23231
245999,23543
247999,23380
249999,23437
251999,23216
253999,22950
255999,22858
257999,23110
259999,23219
261999,23226
263999,23009
265999,23079
267999,23108
269999,23110
271999,23141
273999,23224
275999,23144
277999,23164
279999,23108
281999,22895
283999,23075
285999,23190
287999,22997
289999,23176
291999,23153
293999,23062
295999,23359
297999,23314
299999,23193
301999,23168
303999,22991
305999,22947
307999,22971
309999,23148
311999,22956
313999,23023
315999,22992
317999,23058
319999,23146
321999,22989
323999,22980
325999,23197
327999,23287
329999,23032
331999,23045
333999,23018
335999,23037
337999,22935
339999,23079
341999,23074
343999,23106
345999,23067
347999,23032
349999,23023
351999,23002
353999,23090
355999,23081
357999,23162
359999,23231
361999,23079
363999,23283
365999,23143
367999,23314
369999,23167
371999,23238
373999,22871
375999,23151
377999,23160
379999,22935
381999,23128
383999,23226
385999,23251
387999,23282
389999,23282
391999,23258
393999,23332
395999,23263
397999,23323
399999,23205
401999,23222
403999,23128
405999,23314
407999,23335
409999,23372
411999,23316
413999,23239
415999,23117
417999,23384
419999,23397
421999,23308
423999,23257
425999,23247
427999,23390
429999,23299
431999,23327
433999,23189
435999,23084
437999,22970
439999,23299
441999,23282
443999,23444
445999,23135
447999,23107
449999,23145
451999,23179
453999,23214
455999,23221
457999,23157
459999,23120
461999,23043
463999,23100
465999,23322
467999,23271
469999,23185
471999,23357
473999,23376
475999,23438
477999,23582
479999,23270
481999,23354
483999,23484
485999,23400
487999,23430
489999,23547
491999,23489
493999,23530
495999,23548
497999,23344
499999,23397
501999,23449
503999,23090
505999,23247
507999,23091
509999,23200
511999,23202
513999,23225
515999,23319
517999,23427
519999,23564
521999,23544
523999,23512
525999,23480
527999,23318
529999,23340
531999,23365
533999,23526
535999,23476
537999,23375
539999,23411
541999,23562
543999,23673
545999,23558
547999,23577
549999,23445
551999,23305
553999,23433
555999,23284
557999,23280
559999,23407
561999,23349
563999,23491
565999,23426
567999,23352
569999,23515
571999,23342
573999,23295
575999,23322
577999,23335
579999,23460
581999,23168
583999,23380
585999,23367
587999,23444
589999,23373
591999,23457
593999,23401
595999,23512
597999,23513
599999,23385
601999,23476
603999,23583
605999,23604
607999,23240
609999,23388
611999,23407
613999,23614
615999,23610
617999,23571
619999,23466
621999,23565
623999,23529
625999,23475
627999,23517
629999,23556
631999,23431
633999,23454
635999,23416
637999,23602
639999,23611
641999,23403
643999,22659
645999,22782
647999,22959
649999,23025
651999,22958
653999,23010
655999,23000
657999,23062
659999,23080
661999,22991
663999,22895
665999,22737
667999,22953
669999,23087
671999,23051
673999,22985
675999,23051
677999,23176
679999,23116
681999,23123
683999,23190
685999,23143
687999,23064
689999,23248
691999,23192
693999,22982
695999,23057
697999,23089
699999,23102
701999,23168
703999,23168
705999,23101
707999,23228
709999,23177
711999,23306
713999,23175
715999,23159
717999,23243
719999,23217
721999,23217
723999,23285
725999,23222
727999,23263
729999,23392
731999,23306
733999,23361
735999,23366
737999,23471
739999,23284
741999,23334
743999,23376
745999,23542
747999,23537
749999,23480
751999,23416
753999,23345
755999,23339
757999,23400
759999,23378
761999,23546
763999,23585
765999,23466
767999,23676
769999,23561
771999,23178
773999,23298
775999,23223
777999,23122
779999,23169
781999,23143
783999,23107
785999,23162
787999,22959
789999,22911
791999,23089
793999,23223
795999,23392
797999,23177
799999,23314
801999,23112
803999,23337
805999,23312
807999,23168
809999,23238
811999,23196
813999,23427
815999,23333
817999,23301
819999,23385
821999,23229
823999,23281
825999,23329
827999,23379
829999,23330
831999,23252
833999,23249
835999,23290
837999,23306
839999,23181
841999,23056
843999,22980
845999,23065
847999,23063
849999,22997
851999,23079
853999,23177
855999,22955
857999,23139
859999,23234
861999,23270
863999,23222
865999,23308
867999,23332
869999,23254
871999,23423
873999,23165
875999,23144
877999,23281
879999,23136
881999,23263
883999,23245
885999,23175
887999,23333
889999,23271
891999,23388
893999,23341
895999,23339
897999,23294
899999,23229
901999,23432
903999,23042
905999,23091
907999,23319
909999,23373
911999,23489
913999,23619
915999,23437
917999,23387
919999,23221
921999,22979
923999,22996
925999,23164
927999,23132
929999,23091
931999,23119
933999,23210
935999,23307
937999,23320
939999,23412
941999,23446
943999,23533
945999,23469
947999,23484
949999,23507
951999,23513
953999,23433
955999,23077
957999,23296
959999,23120
961999,23306
963999,23416
965999,23210
967999,23217
969999,23326
971999,23351
973999,23505
975999,23506
977999,23404
979999,23565
981999,23487
983999,23489
985999,23241
987999,23447
989999,23543
991999,23743
993999,23617
995999,23795
997999,23723
999999,23601
1001999,23504
1003999,23493
1005999,23539
1007999,23618
1009999,23654
1011999,23565
1013999,23412
1015999,23644
1017999,23553
1019999,23602
1021999,23632
1023999,23638
1025999,23663
1027999,23584
1029999,23758
1031999,23836
1033999,23808
1035999,23971
1037999,23711
1039999,23645
1041999,23696
1043999,23705
1045999,23769
1047999,23523
1049999,23501
1051999,23495
1053999,23547
1055999,23606
1057999,23762
1059999,23544
1061999,23335
1063999,23336
1065999,23562
1067999,23628
1069999,23622
1071999,23817
1073999,23718
1075999,23717
1077999,23720
1079999,23577
1081999,23641
1083999,23932
1085999,23891
1087999,23844
1089999,23789
1091999,23869
1093999,23812
1095999,23727
1097999,23796
1099999,23909
1101999,23842
1103999,23795
1105999,23863
1107999,24121
1109999,23939
1111999,23689
1113999,23792
1115999,24122
1117999,24201
1119999,24028
1121999,24343
1123999,24096
1125999,24123
1127999,24024
1129999,24226
1131999,24210
1133999,24076
1135999,23929
1137999,23998
1139999,23233
1141999,23062
1143999,23127
1145999,23402
1147999,23517
1149999,23633
1151999,23577
1153999,23564
1155999,23659
1157999,23526
1159999,23472
1161999,23626
1163999,23567
1165999,23459
1167999,23440
1169999,23483
1171999,23494
1173999,23676
1175999,23662
1177999,23845
1179999,23681
1181999,23432
1183999,23507
1185999,23414
1187999,23216
1189999,23341
1191999,23247
1193999,23267
1195999,23378
1197999,23351
1199999,23570
1201999,23714
1203999,23584
1205999,23684
1207999,23521
1209999,23567
1211999,23336
