n,ipl
999,10320
1999,10134
2999,10198
3999,10126
4999,10127
5999,10025
6999,9976
7999,9664
8999,9649
9999,9555
10999,9683
11999,9650
12999,9683
13999,9655
14999,9690
15999,9777
16999,9771
17999,9757
18999,9676
19999,9663
20999,9704
21999,9765
22999,9727
23999,9706
24999,9694
25999,9657
26999,9601
27999,9520
28999,9540
29999,9575
30999,9647
31999,9596
32999,9525
33999,9569
34999,9617
35999,9641
36999,9638
37999,9666
38999,9595
39999,9718
40999,9634
41999,9707
42999,9704
43999,9749
44999,9692
45999,9785
46999,9815
47999,9679
48999,9645
49999,9642
50999,9581
51999,9631
52999,9597
53999,9735
54999,9684
55999,9734
56999,9721
57999,9569
58999,9661
59999,9666
60999,9681
61999,9674
62999,9740
63999,9829
64999,9786
65999,9740
66999,9650
67999,9509
68999,9524
69999,9551
70999,9467
71999,9601
72999,9616
73999,9642
74999,9587
75999,9590
76999,9624
77999,9654
78999,9665
79999,9612
80999,9491
81999,9579
82999,9670
83999,9680
84999,9705
85999,9695
86999,9724
87999,9748
88999,9777
89999,9623
90999,9732
91999,9802
92999,9819
93999,9870
94999,9725
95999,9742
96999,9737
97999,9715
98999,9751
99999,9691
100999,9867
101999,9908
102999,9837
103999,9871
104999,9787
105999,9743
106999,9840
107999,9910
108999,9901
109999,9904
110999,9733
111999,9742
112999,9670
113999,9741
114999,9674
115999,9814
116999,9874
117999,9933
118999,9908
119999,9926
120999,9872
121999,9860
122999,9836
123999,9894
124999,9900
125999,9747
126999,9763
127999,9861
128999,9771
129999,9787
130999,9720
131999,9787
132999,9800
133999,9817
134999,9803
135999,9835
136999,9770
137999,9927
138999,9867
139999,9820
140999,9870
141999,9904
142999,9878
143999,9844
144999,9846
145999,10022
146999,9959
147999,9931
148999,9908
149999,9942
150999,9893
151999,9855
152999,9944
153999,9948
154999,9869
155999,9874
156999,10014
157999,9992
158999,10009
159999,10037
160999,9974
161999,9944
162999,9923
163999,9880
164999,9947
165999,10021
166999,9987
167999,10029
168999,9988
169999,9946
170999,10004
171999,9980
172999,9996
173999,9952
174999,9952
175999,9970
176999,9994
177999,10041
178999,10035
179999,10058
180999,9936
181999,10061
182999,9978
183999,10033
184999,10016
185999,10036
186999,9985
187999,10080
188999,10088
189999,10077
190999,10123
191999,10105
192999,10128
193999,10121
194999,10163
195999,10082
196999,10105
197999,10145
198999,10158
199999,10229
200999,10159
201999,10181
202999,10191
203999,10180
204999,10240
205999,10160
206999,10135
207999,10126
208999,10126
209999,10127
210999,10173
211999,10306
212999,10234
213999,10272
214999,10222
215999,10257
216999,10289
217999,10346
218999,10378
219999,10439
220999,10074
221999,10136
222999,10060
223999,10016
224999,10122
225999,9857
226999,10001
227999,9968
228999,9775
229999,9922
230999,9916
231999,9975
232999,10103
233999,10042
234999,9894
235999,10054
236999,10007
237999,9879
238999,9825
239999,9817
240999,9806
241999,9916
242999,9884
243999,9920
244999,9884
245999,9909
246999,9976
247999,10136
248999,10067
249999,9980
250999,9915
251999,9877
252999,9807
253999,9806
254999,9886
255999,9874
256999,9870
257999,9868
258999,9992
259999,9848
260999,9824
261999,9913
262999,9944
263999,9907
264999,10063
265999,10038
266999,10163
267999,10173
268999,10088
269999,10066
270999,10114
271999,10165
272999,10221
273999,10189
274999,10348
275999,10136
276999,9999
277999,9974
278999,10112
279999,9950
280999,10018
281999,10096
282999,10050
283999,9978
284999,9933
285999,9998
286999,10013
287999,9915
288999,9807
289999,9768
290999,9680
291999,9658
292999,9691
293999,9698
294999,9750
295999,9814
296999,9876
297999,9822
298999,9843
299999,9871
300999,9907
301999,9869
302999,9956
303999,9945
304999,9999
305999,10057
306999,9986
307999,9900
