n,ipl
999,11115
1999,11003
2999,10842
3999,10846
4999,10716
5999,10721
6999,10649
7999,10605
8999,10584
9999,10494
10999,10670
11999,10553
12999,10558
13999,10581
14999,10580
15999,10636
16999,10667
17999,10512
18999,10497
19999,10515
20999,10589
21999,10530
22999,10493
23999,10509
24999,10497
25999,10420
26999,10371
27999,10418
28999,10506
29999,10403
30999,10424
31999,10435
32999,10477
33999,10452
34999,10494
35999,10418
36999,10375
37999,10362
38999,10401
39999,10455
40999,10445
41999,10398
42999,10406
43999,10518
44999,10396
45999,10353
46999,10509
47999,10497
48999,10333
49999,10334
50999,10335
51999,10313
52999,10304
53999,10370
54999,10346
55999,10364
56999,10432
57999,10422
58999,10441
59999,10412
60999,10365
61999,10314
62999,10202
63999,10382
64999,10358
65999,10440
66999,10509
67999,10458
68999,10358
69999,10370
70999,10278
71999,10297
72999,10402
73999,10193
74999,10155
75999,10236
76999,10225
77999,10281
78999,10265
79999,10253
80999,10407
81999,10396
82999,10478
83999,10439
84999,10261
85999,10371
86999,10333
87999,10434
88999,10341
89999,10337
90999,10314
91999,10306
92999,10364
93999,10332
94999,10346
95999,10231
96999,10286
97999,10234
98999,10283
99999,10281
100999,10189
101999,10235
102999,10269
103999,10205
104999,10360
105999,10327
106999,10125
107999,10254
108999,10190
109999,10291
110999,10154
111999,10112
112999,10219
113999,10285
114999,10267
115999,10223
116999,10235
117999,10118
118999,10134
119999,10274
120999,10272
121999,10296
122999,10254
123999,10301
124999,10167
125999,10177
126999,10267
127999,10174
128999,10224
129999,10217
130999,10401
131999,10248
132999,10300
133999,10217
134999,10171
135999,10200
136999,10272
137999,10302
138999,10237
139999,10196
140999,10312
141999,10263
142999,10180
143999,10299
144999,10365
145999,10380
146999,10379
147999,10435
148999,10326
149999,10296
150999,10403
151999,10437
152999,10390
153999,10387
154999,10417
155999,10374
156999,10534
157999,10424
158999,10491
159999,10281
160999,10327
161999,10358
162999,10333
163999,10292
164999,10366
165999,10377
166999,10379
167999,10365
168999,10441
169999,10246
170999,10273
171999,10341
172999,10438
173999,10374
174999,10357
175999,10332
176999,10434
177999,10514
178999,10514
179999,10557
180999,10543
181999,10520
182999,10465
183999,10379
184999,10416
185999,10373
186999,10431
187999,10430
188999,10457
189999,10496
190999,10473
191999,10603
192999,10588
193999,10528
194999,10425
195999,10444
196999,10401
197999,10441
198999,10375
199999,10376
200999,10441
201999,10542
202999,10532
203999,10654
204999,10641
205999,10631
206999,10649
207999,10648
208999,10729
209999,10623
210999,10621
211999,10613
212999,10707
213999,10789
214999,10657
215999,10713
216999,10728
217999,10658
218999,10629
219999,10542
220999,10584
221999,10576
222999,10635
223999,10665
224999,10682
225999,10635
226999,10656
227999,10564
228999,10627
229999,10645
230999,10675
231999,10634
232999,10730
233999,10664
234999,10678
235999,10773
236999,10825
237999,10664
238999,10623
239999,10641
240999,10718
