n,ipl
10000,148646
15000,234552
20000,324142
25000,416619
30000,510992
35000,607034
40000,704105
45000,802294
50000,901244
55000,1001631
60000,1103050
65000,1204852
70000,1307700
75000,1411409
80000,1515644
85000,1620184
90000,1725862
95000,1831984
100000,1938036
105000,2045174
110000,2152905
115000,2261321
120000,2369770
125000,2478075
130000,2587364
135000,2696969
140000,2806866
145000,2916839
150000,3027165
155000,3137801
160000,3248951
165000,3360178
170000,3471647
175000,3583612
180000,3695605
185000,3808109
190000,3920684
195000,4033333
200000,4145944
