n,ipl
10000,160310
15000,252608
20000,348426
25000,446580
30000,547200
35000,648815
40000,751714
45000,855987
50000,962065
55000,1068893
60000,1176552
65000,1284938
70000,1394166
75000,1504238
80000,1614464
85000,1725579
90000,1836761
95000,1949294
100000,2062155
105000,2175283
110000,2288538
115000,2401539
120000,2516179
125000,2630849
130000,2746106
135000,2861428
140000,2977089
145000,3093070
150000,3209559
155000,3326652
160000,3444217
165000,3561615
170000,3679134
175000,3796120
180000,3914926
185000,4032566
190000,4150682
195000,4269180
200000,4388358
