n,ipl
10000,145310
15000,229428
20000,316927
25000,406996
30000,499374
35000,593572
40000,688793
45000,785587
50000,883391
55000,981874
60000,1081887
65000,1182223
70000,1283280
75000,1385523
80000,1488118
85000,1592010
90000,1695343
95000,1799413
100000,1903744
105000,2008452
110000,2114336
115000,2220612
120000,2326812
125000,2433406
130000,2540801
135000,2648269
140000,2756191
145000,2864079
150000,2972931
155000,3082009
160000,3191253
165000,3300563
170000,3410723
175000,3520446
180000,3630796
185000,3741989
190000,3852194
195000,3963922
200000,4074830
