n,ipl
10000,158176
15000,249359
20000,344081
25000,441481
30000,540732
35000,641818
40000,744024
45000,847396
50000,951599
55000,1057233
60000,1163505
65000,1270182
70000,1378417
75000,1487268
80000,1596301
85000,1706258
90000,1817083
95000,1927598
100000,2038818
105000,2151176
110000,2263677
115000,2376437
120000,2489692
125000,2602831
130000,2716710
135000,2830393
140000,2945189
145000,3060228
150000,3175925
155000,3291539
160000,3407371
165000,3523051
170000,3639740
175000,3756892
180000,3873306
185000,3990351
190000,4107321
195000,4224947
200000,4343114
