n,ipl
10000,165830
15000,260904
20000,359295
25000,460503
30000,563564
35000,667897
40000,774134
45000,881646
50000,990074
55000,1099347
60000,1208953
65000,1319849
70000,1431265
75000,1543274
80000,1656145
85000,1769867
90000,1883947
95000,1998790
100000,2113974
105000,2229848
110000,2345456
115000,2461591
120000,2578037
125000,2695675
130000,2813261
135000,2931223
140000,3050441
145000,3169038
150000,3287832
155000,3407338
160000,3527007
165000,3647614
170000,3767406
175000,3888049
180000,4009178
185000,4130049
190000,4250996
195000,4372532
200000,4494964
