n,ipl
10000,156325
15000,245873
20000,338781
25000,435016
30000,532767
35000,631977
40000,732670
45000,835101
50000,938011
55000,1042150
60000,1147027
65000,1252425
70000,1359284
75000,1466636
80000,1574255
85000,1682802
90000,1792074
95000,1902124
100000,2012553
105000,2123575
110000,2234517
115000,2346742
120000,2458761
125000,2571530
130000,2684555
135000,2797486
140000,2910951
145000,3024070
150000,3137938
155000,3252577
160000,3366581
165000,3481487
170000,3596911
175000,3712652
180000,3828310
185000,3944697
190000,4060837
195000,4176932
200000,4294043
