n,ipl
10000,150653
15000,237894
20000,328968
25000,422303
30000,517575
35000,614747
40000,713499
45000,813459
50000,914215
55000,1015791
60000,1118770
65000,1222139
70000,1326062
75000,1430863
80000,1536628
85000,1642859
90000,1749987
95000,1857426
100000,1965193
105000,2073597
110000,2182249
115000,2291482
120000,2400296
125000,2510540
130000,2620465
135000,2730993
140000,2841636
145000,2952454
150000,3064183
155000,3175696
160000,3287584
165000,3399757
170000,3512597
175000,3625442
180000,3738994
185000,3852511
190000,3966083
195000,4079707
200000,4193995
