n,ipl
10000,150645
15000,238978
20000,330122
25000,423526
30000,519760
35000,616763
40000,715260
45000,815228
50000,916588
55000,1018244
60000,1121165
65000,1225316
70000,1329726
75000,1434484
80000,1540407
85000,1647099
90000,1753923
95000,1861792
100000,1969968
105000,2078401
110000,2187639
115000,2296571
120000,2406817
125000,2517453
130000,2628129
135000,2738852
140000,2850071
145000,2961757
150000,3073357
155000,3185653
160000,3298180
165000,3411263
170000,3524586
175000,3637960
180000,3751623
185000,3865520
190000,3979635
195000,4093515
200000,4208349
