n,ipl
10000,159367
15000,251076
20000,346629
25000,443980
30000,543323
35000,644799
40000,747253
45000,851517
50000,956768
55000,1062753
60000,1169714
65000,1277458
70000,1386156
75000,1495267
80000,1605051
85000,1715345
90000,1827073
95000,1938369
100000,2050483
105000,2163403
110000,2276058
115000,2388918
120000,2502379
125000,2616178
130000,2730423
135000,2845849
140000,2960968
145000,3076408
150000,3191578
155000,3307589
160000,3424017
165000,3541124
170000,3657699
175000,3775189
180000,3892242
185000,4010553
190000,4128092
195000,4246316
200000,4364852
