n,ipl
1000,11145.85
1050,11890.2
1100,12627.65
1150,13348.65
1200,14053.475
1250,14773.025
1300,15557.95
1350,16171.5
1400,17062.5
1450,17615.975
1500,18530.425
1550,19169.875
1600,19894.3
1650,20830.225
1700,21419.875
1750,22243.3
1800,22937.55
1850,23848.45
1900,24447.525
1950,25295.475
2000,26161.125
