n,ipl
1000,10916
1050,11901
1100,12272
1150,14213
1200,14824
1250,15861
1300,15773
1350,16219
1400,17518
1450,17797
1500,19578
1550,20201
1600,20412
1650,22793
1700,23478
1750,22252
1800,24235
1850,26302
1900,24682
1950,26809
2000,29193
