n,In
10000,17.4188
15000,18.2541
20000,18.8281
25000,19.2722
30000,19.6471
35000,19.9565
40000,20.2305
45000,20.4597
50000,20.6657
55000,20.8538
60000,21.0342
65000,21.1954
70000,21.3501
75000,21.4906
80000,21.6147
85000,21.7349
90000,21.8491
95000,21.9555
100000,22.0608
105000,22.16
110000,22.25
115000,22.3379
120000,22.4219
125000,22.5063
130000,22.5891
135000,22.6636
140000,22.7365
145000,22.8042
150000,22.8719
155000,22.9349
160000,22.9979
165000,23.0593
170000,23.1169
175000,23.1776
180000,23.2328
185000,23.2863
190000,23.341
195000,23.3946
200000,23.4454
