n,In
10000,17.1731
15000,17.933
20000,18.5128
25000,18.9686
30000,19.3181
35000,19.6327
40000,19.9061
45000,20.1433
50000,20.3491
55000,20.5452
60000,20.7227
65000,20.8774
70000,21.0273
75000,21.1729
80000,21.3035
85000,21.426
90000,21.5418
95000,21.6427
100000,21.7453
105000,21.8433
110000,21.9331
115000,22.0265
120000,22.1064
125000,22.1859
130000,22.2628
135000,22.3367
140000,22.405
145000,22.4724
150000,22.5399
155000,22.603
160000,22.6632
165000,22.7236
170000,22.7805
175000,22.8393
180000,22.8944
185000,22.9463
190000,22.9979
195000,23.0492
200000,23.0999
