n,In
10000,17.8739
15000,18.6641
20000,19.2481
25000,19.6814
30000,20.0386
35000,20.3348
40000,20.5994
45000,20.8322
50000,21.0489
55000,21.2341
60000,21.3986
65000,21.563
70000,21.7152
75000,21.8535
80000,21.9775
85000,22.0973
90000,22.2093
95000,22.314
100000,22.4205
105000,22.5221
110000,22.6117
115000,22.7056
120000,22.791
125000,22.8706
130000,22.948
135000,23.0221
140000,23.0945
145000,23.1635
150000,23.2311
155000,23.3003
160000,23.3653
165000,23.4227
170000,23.4827
175000,23.5411
180000,23.5964
185000,23.6486
190000,23.7007
195000,23.7539
200000,23.8047
