n,In
10000,17.8528
15000,18.6589
20000,19.2192
25000,19.6708
30000,20.0301
35000,20.334
40000,20.6026
45000,20.8275
50000,21.0424
55000,21.2195
60000,21.3899
65000,21.5476
70000,21.693
75000,21.8264
80000,21.955
85000,22.0821
90000,22.1944
95000,22.3045
100000,22.4056
105000,22.5036
110000,22.5896
115000,22.6811
120000,22.7673
125000,22.8514
130000,22.9301
135000,23.0112
140000,23.0891
145000,23.1605
150000,23.2254
155000,23.2918
160000,23.3575
165000,23.4224
170000,23.4825
175000,23.5384
180000,23.5996
185000,23.6519
190000,23.7086
195000,23.7594
200000,23.8112
