n,In
10000,17.9949
15000,18.8136
20000,19.3872
25000,19.8475
30000,20.2119
35000,20.5177
40000,20.78
45000,21.0144
50000,21.2228
55000,21.4135
60000,21.5847
65000,21.7327
70000,21.8789
75000,22.0133
80000,22.1457
85000,22.2685
90000,22.3735
95000,22.4819
100000,22.5885
105000,22.684
110000,22.7748
115000,22.8631
120000,22.9469
125000,23.0299
130000,23.11
135000,23.1832
140000,23.2566
145000,23.3284
150000,23.3962
155000,23.4653
160000,23.5309
165000,23.5931
170000,23.6514
175000,23.7087
180000,23.7674
185000,23.82
190000,23.8759
195000,23.9302
200000,23.9828
