n,In
10000,18.0387
15000,18.8545
20000,19.4401
25000,19.9033
30000,20.259
35000,20.5716
40000,20.8326
45000,21.065
50000,21.2702
55000,21.468
60000,21.6327
65000,21.7821
70000,21.9248
75000,22.0632
80000,22.1899
85000,22.3048
90000,22.4167
95000,22.52
100000,22.6225
105000,22.7181
110000,22.8149
115000,22.9046
120000,22.9903
125000,23.0711
130000,23.1477
135000,23.2225
140000,23.2913
145000,23.3629
150000,23.4291
155000,23.4965
160000,23.5584
165000,23.6188
170000,23.6793
175000,23.7373
180000,23.7891
185000,23.8445
190000,23.8973
195000,23.9505
200000,24.0013
