n,In
10000,16.9616
15000,17.7905
20000,18.3771
25000,18.8282
30000,19.186
35000,19.4992
40000,19.7527
45000,19.9831
50000,20.1977
55000,20.3912
60000,20.5673
65000,20.721
70000,20.8682
75000,21.0082
80000,21.1434
85000,21.2675
90000,21.3816
95000,21.4898
100000,21.5911
105000,21.6895
110000,21.7858
115000,21.877
120000,21.9632
125000,22.0422
130000,22.1187
135000,22.1934
140000,22.2658
145000,22.3341
150000,22.4001
155000,22.4662
160000,22.5272
165000,22.582
170000,22.6424
175000,22.6992
180000,22.7545
185000,22.8083
190000,22.8603
195000,22.9134
200000,22.9641
