n,In
10000,17.0479
15000,17.9048
20000,18.4808
25000,18.9172
30000,19.296
35000,19.606
40000,19.8508
45000,20.0846
50000,20.2924
55000,20.4798
60000,20.651
65000,20.8105
70000,20.9599
75000,21.1001
80000,21.2277
85000,21.3449
90000,21.454
95000,21.5606
100000,21.6642
105000,21.7626
110000,21.8575
115000,21.9527
120000,22.0415
125000,22.1212
130000,22.2001
135000,22.2718
140000,22.3453
145000,22.4153
150000,22.4812
155000,22.5491
160000,22.6114
165000,22.6707
170000,22.7281
175000,22.7864
180000,22.8419
185000,22.898
190000,22.9559
195000,23.008
200000,23.0581
