n,In
10000,17.409
15000,18.2214
20000,18.8001
25000,19.2508
30000,19.6219
35000,19.9228
40000,20.2062
45000,20.4486
50000,20.6607
55000,20.8578
60000,21.0317
65000,21.1932
70000,21.3395
75000,21.4833
80000,21.6071
85000,21.7305
90000,21.8441
95000,21.9514
100000,22.0522
105000,22.1503
110000,22.2403
115000,22.329
120000,22.4158
125000,22.5013
130000,22.577
135000,22.651
140000,22.7264
145000,22.7965
150000,22.8627
155000,22.9274
160000,22.9908
165000,23.0528
170000,23.1113
175000,23.1681
180000,23.2282
185000,23.2803
190000,23.3336
195000,23.3834
200000,23.4326
